Estado,SSA,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEDEMAR,OTRAS,Total
Aguascalientes,1441,48,1,0,0,0,0,0,0,1490
Baja California,16,30,2,0,0,0,1,0,20,69
Baja California Sur,56,4,13,0,0,0,5,1,0,79
Campeche,27,1,5,14,0,0,1,0,0,48
Coahuila,33,37,0,8,2,0,0,0,3,83
Colima,7169,2889,109,0,0,0,19,84,1,10271
Chiapas,110,6,32,42,0,0,0,0,5,195
Chihuahua,137,154,0,125,0,0,0,0,50,466
Distrito Federal,201,17,47,0,0,1,1,1,0,268
Durango,4552,5,18,928,0,0,9,0,0,5512
Guanajuato,12116,4655,258,0,0,0,98,0,6946,24073
Guerrero,22044,1226,746,0,0,0,97,79,12,24204
Hidalgo,210,0,17,42,0,3,0,0,4,276
Jalisco,33556,11504,107,0,1,0,48,0,3237,48453
México,5302,19,26,0,7,0,2,0,309,5665
Michoacán,14252,6019,942,7357,0,0,0,18,0,28588
Morelos,20149,8977,1615,0,0,0,0,0,0,30741
Nayarit,9253,1826,79,3755,12,0,125,2,0,15052
Nuevo León,30,124,0,0,0,0,1,0,311,466
Oaxaca,2447,174,115,1483,0,0,23,8,6,4256
Puebla,10450,1337,121,3527,0,0,5,0,41,15481
Querétaro,1064,3266,12,0,0,0,0,0,35,4377
Quintana Roo,49,37,4,0,0,0,0,0,0,90
San Luis Potosi,110,112,1,33,0,1,1,0,0,258
Sinaloa,3239,1671,209,1783,32,2,16,19,554,7525
Sonora,9060,1708,30,0,0,0,7,0,582,11387
Tabasco,27,1,0,0,0,0,6,0,10,44
Tamaulipas,261,18,13,27,0,8,10,1,185,523
Tlaxcala,27,4,0,0,0,0,0,0,0,31
Veracruz,145,52,2,36,0,0,10,4,0,249
Yucatán,39,1,1,22,1,0,0,0,0,64
Zacatecas,2050,174,10,665,0,0,0,0,0,2899
TOTAL GLOBAL,159622,46096,4535,19847,55,15,485,217,12311,243183
