Estado,SSA,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEDEMAR,OTRAS,Total
Aguascalientes,787.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,815.00
Baja California,7.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,9.00,27.00
Baja California Sur,26.00,1.00,7.00,0.00,0.00,0.00,5.00,1.00,0.00,40.00
Campeche,7.00,0.00,3.00,3.00,0.00,0.00,1.00,0.00,0.00,14.00
Coahuila,16.00,10.00,0.00,4.00,2.00,0.00,0.00,0.00,2.00,34.00
Colima,3973.00,1548.00,54.00,0.00,0.00,0.00,15.00,36.00,1.00,5627.00
Chiapas,46.00,4.00,14.00,18.00,0.00,0.00,0.00,0.00,3.00,85.00
Chihuahua,60.00,69.00,0.00,59.00,0.00,0.00,0.00,0.00,23.00,211.00
Distrito Federal,102.00,7.00,19.00,0.00,0.00,0.00,1.00,0.00,0.00,129.00
Durango,2314.00,1.00,3.00,481.00,0.00,0.00,5.00,0.00,0.00,2804.00
Guanajuato,5505.00,2269.00,125.00,0.00,0.00,0.00,53.00,0.00,3348.00,11300.00
Guerrero,11274.00,564.00,370.00,0.00,0.00,0.00,65.00,41.00,10.00,12324.00
Hidalgo,90.00,0.00,7.00,20.00,0.00,0.00,0.00,0.00,3.00,120.00
Jalisco,17417.00,5825.00,50.00,0.00,1.00,0.00,32.00,0.00,1751.00,25076.00
México,2669.00,5.00,12.00,0.00,3.00,0.00,2.00,0.00,161.00,2852.00
Michoacán,7146.00,3002.00,427.00,3825.00,0.00,0.00,0.00,10.00,0.00,14410.00
Morelos,10585.00,4438.00,796.00,0.00,0.00,0.00,0.00,0.00,0.00,15819.00
Nayarit,5033.00,1027.00,42.00,2182.00,9.00,0.00,123.00,1.00,0.00,8417.00
Nuevo León,8.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,223.00
Oaxaca,1059.00,80.00,45.00,680.00,0.00,0.00,14.00,2.00,2.00,1882.00
Puebla,5179.00,647.00,45.00,1704.00,0.00,0.00,2.00,0.00,17.00,7594.00
Querétaro,536.00,1554.00,6.00,0.00,0.00,0.00,0.00,0.00,22.00,2118.00
Quintana Roo,21.00,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00
San Luis Potosi,50.00,53.00,0.00,15.00,0.00,1.00,1.00,0.00,0.00,120.00
Sinaloa,1446.00,705.00,77.00,821.00,19.00,2.00,7.00,9.00,278.00,3364.00
Sonora,3773.00,680.00,12.00,0.00,0.00,0.00,3.00,0.00,243.00,4711.00
Tabasco,6.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,7.00,16.00
Tamaulipas,165.00,8.00,7.00,11.00,0.00,2.00,9.00,0.00,27.00,229.00
Tlaxcala,15.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00
Veracruz,65.00,18.00,0.00,14.00,0.00,0.00,5.00,2.00,0.00,104.00
Yucatán,12.00,0.00,1.00,9.00,1.00,0.00,0.00,0.00,0.00,23.00
Zacatecas,1042.00,93.00,5.00,342.00,0.00,0.00,0.00,0.00,0.00,1482.00
TOTAL GLOBAL,80434.00,22719.00,2131.00,10188.00,35.00,5.00,347.00,102.00,6062.00,122023.00
