Estado,SSA,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEDEMAR,OTRAS,Total
Aguascalientes,654.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,675.00
Baja California,9.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,11.00,42.00
Baja California Sur,30.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00
Campeche,20.00,1.00,2.00,11.00,0.00,0.00,0.00,0.00,0.00,34.00
Coahuila,17.00,27.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,49.00
Colima,3196.00,1341.00,55.00,0.00,0.00,0.00,4.00,48.00,0.00,4644.00
Chiapas,64.00,2.00,18.00,24.00,0.00,0.00,0.00,0.00,2.00,110.00
Chihuahua,77.00,85.00,0.00,66.00,0.00,0.00,0.00,0.00,27.00,255.00
Distrito Federal,99.00,10.00,28.00,0.00,0.00,1.00,0.00,1.00,0.00,139.00
Durango,2238.00,4.00,15.00,447.00,0.00,0.00,4.00,0.00,0.00,2708.00
Guanajuato,6611.00,2386.00,133.00,0.00,0.00,0.00,45.00,0.00,3598.00,12773.00
Guerrero,10770.00,662.00,376.00,0.00,0.00,0.00,32.00,38.00,2.00,11880.00
Hidalgo,120.00,0.00,10.00,22.00,0.00,3.00,0.00,0.00,1.00,156.00
Jalisco,16139.00,5679.00,57.00,0.00,0.00,0.00,16.00,0.00,1486.00,23377.00
México,2633.00,14.00,14.00,0.00,4.00,0.00,0.00,0.00,148.00,2813.00
Michoacán,7106.00,3017.00,515.00,3532.00,0.00,0.00,0.00,8.00,0.00,14178.00
Morelos,9564.00,4539.00,819.00,0.00,0.00,0.00,0.00,0.00,0.00,14922.00
Nayarit,4220.00,799.00,37.00,1573.00,3.00,0.00,2.00,1.00,0.00,6635.00
Nuevo León,22.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,156.00,243.00
Oaxaca,1388.00,94.00,70.00,803.00,0.00,0.00,9.00,6.00,4.00,2374.00
Puebla,5271.00,690.00,76.00,1823.00,0.00,0.00,3.00,0.00,24.00,7887.00
Querétaro,528.00,1712.00,6.00,0.00,0.00,0.00,0.00,0.00,13.00,2259.00
Quintana Roo,28.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00
San Luis Potosi,60.00,59.00,1.00,18.00,0.00,0.00,0.00,0.00,0.00,138.00
Sinaloa,1793.00,966.00,132.00,962.00,13.00,0.00,9.00,10.00,276.00,4161.00
Sonora,5287.00,1028.00,18.00,0.00,0.00,0.00,4.00,0.00,339.00,6676.00
Tabasco,21.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,28.00
Tamaulipas,96.00,10.00,6.00,16.00,0.00,6.00,1.00,1.00,158.00,294.00
Tlaxcala,12.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00
Veracruz,80.00,34.00,2.00,22.00,0.00,0.00,5.00,2.00,0.00,145.00
Yucatán,27.00,1.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,41.00
Zacatecas,1008.00,81.00,5.00,323.00,0.00,0.00,0.00,0.00,0.00,1417.00
TOTAL GLOBAL,79188.00,23377.00,2404.00,9659.00,20.00,10.00,138.00,115.00,6249.00,121160.00
