Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1738,22,0,0,0,0,0,0,1,1761
Baja California,38,53,5,4,0,0,1,0,48,149
Baja California Sur,95,0,23,0,0,0,0,1,0,119
Campeche,14,1,7,11,0,0,1,0,2,36
Coahuila,43,47,2,12,0,0,0,0,31,135
Colima,7065,2253,89,0,0,0,26,83,210,9726
Chiapas,190,2,26,52,0,0,10,0,6,286
Chihuahua,148,56,3,92,0,0,5,0,21,325
Distrito Federal,321,11,45,0,1,0,5,1,10,394
Durango,5121,2,8,639,4,0,1,0,0,5775
Guanajuato,12646,6852,366,4,0,1,49,0,6501,26419
Guerrero,27710,4200,1146,6,0,0,30,62,0,33154
Hidalgo,219,0,1,25,0,1,0,0,4,250
Jalisco,35421,11898,169,3,0,0,69,0,2753,50313
México,5360,2,18,1,8,0,5,0,363,5757
Michoacán,15555,3775,770,6840,0,0,63,33,0,27036
Morelos,22655,7722,1142,28,0,0,12,0,0,31559
Nayarit,8702,1530,83,3015,4,0,106,0,26,13466
Nuevo León,30,21,0,0,0,0,0,0,71,122
Oaxaca,2945,91,74,1540,3,1,15,21,2,4692
Puebla,11500,1377,113,3529,0,3,0,0,53,16575
Querétaro,1180,2422,82,0,0,0,0,0,89,3773
Quintana Roo,77,35,30,0,0,0,0,0,0,142
San Luis Potosí,123,114,1,72,0,5,3,0,5,323
Sinaloa,2782,1527,108,1503,27,0,64,27,747,6785
Sonora,3675,1240,122,2,0,0,15,0,194,5248
Tabasco,18,6,1,0,0,0,0,0,13,38
Tamaulipas,149,53,1,20,37,5,3,3,36,307
Tlaxcala,25,12,0,0,0,0,0,0,0,37
Veracruz,99,57,0,21,0,0,2,0,0,179
Yucatán,25,4,5,24,0,0,0,0,0,58
Zacatecas,2387,60,9,581,0,0,0,0,0,3037
TOTAL GLOBAL,168056,45445,4449,18024,84,16,485,231,11186,247976
