Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,996,9,0,0,0,0,0,0,0,1005
Baja California,16,14,2,0,0,0,1,0,14,47
Baja California Sur,52,0,8,0,0,0,0,0,0,60
Campeche,2,1,2,0,0,0,0,0,2,7
Coahuila,28,28,2,2,0,0,0,0,4,64
Colima,4125,1257,41,0,0,0,3,41,28,5495
Chiapas,55,8,9,17,0,0,7,0,0,96
Chihuahua,79,10,7,58,0,0,0,0,11,165
Distrito Federal,136,15,26,0,3,0,2,2,13,197
Durango,2542,4,6,388,0,0,2,0,0,2942
Guanajuato,6657,4376,171,0,0,13,24,0,3569,14810
Guerrero,17250,2996,511,8,0,0,44,45,16,20870
Hidalgo,111,0,0,6,0,0,0,0,2,119
Jalisco,20646,7516,112,2,0,0,74,0,1844,30194
México,3119,6,8,6,1,0,0,0,179,3319
Michoacán,9081,2249,334,4080,0,0,24,13,0,15781
Morelos,12485,3039,518,8,0,0,14,0,0,16064
Nayarit,4936,869,29,1877,2,0,52,0,21,7786
Nuevo León,25,22,2,0,0,0,0,0,26,75
Oaxaca,1293,27,54,768,1,0,7,1,1,2152
Puebla,5734,463,49,1965,0,0,4,0,34,8249
Querétaro,645,1202,51,0,7,0,0,0,34,1939
Quintana Roo,28,31,7,0,0,0,0,0,0,66
San Luis Potosí,53,71,4,35,0,0,0,0,1,164
Sinaloa,1482,603,66,814,1,0,16,18,402,3402
Sonora,1324,469,35,0,0,0,4,0,63,1895
Tabasco,5,3,0,0,0,0,0,0,0,8
Tamaulipas,86,30,4,16,0,2,2,0,2,142
Tlaxcala,12,4,0,0,0,0,0,0,0,16
Veracruz,58,22,1,16,0,0,0,0,0,97
Yucatán,6,4,3,12,0,0,0,0,1,26
Zacatecas,1483,36,7,367,0,0,1,0,0,1894
TOTAL GLOBAL,94550,25384,2069,10445,15,15,281,120,6267,139146
