Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,930,9,1,NA,0,NA,0,NA,0,940
Baja California,16,27,0,2,NA,NA,0,0,20,65
Baja California Sur,46,4,6,NA,NA,NA,0,1,NA,57
Campeche,8,2,0,2,0,0,1,0,1,14
Coahuila,23,40,2,8,0,NA,1,NA,4,78
Colima,3962,1263,47,NA,0,NA,4,30,29,5335
Chiapas,61,15,14,27,NA,0,1,18,7,143
Chihuahua,76,44,1,66,NA,NA,0,NA,4,191
Distrito Federal,142,13,30,0,2,0,7,0,8,202
Durango,2616,89,2,439,0,NA,5,NA,0,3151
Guanajuato,6314,4559,106,1,NA,15,21,NA,3824,14840
Guerrero,15737,2821,369,0,NA,NA,79,9,0,19015
Hidalgo,44,0,1,9,0,0,0,NA,1,55
Jalisco,19655,5546,81,0,0,0,56,3,2507,27848
México,2990,21,2,1,1,NA,1,NA,150,3166
Michoacán,8543,1276,355,3457,NA,NA,21,9,NA,13661
Morelos,12342,3367,636,11,NA,NA,47,NA,NA,16403
Nayarit,5557,937,76,2066,4,NA,56,0,20,8716
Nuevo León,26,43,0,0,0,0,0,NA,11,80
Oaxaca,1401,74,72,738,0,3,4,9,2,2303
Puebla,4350,486,60,2031,0,0,1,NA,32,6960
Querétaro,556,1092,45,0,1,NA,NA,NA,45,1739
Quintana Roo,22,21,6,NA,NA,NA,1,1,NA,51
San Luis Potosí,53,38,3,34,NA,0,0,NA,3,131
Sinaloa,1545,590,61,1042,1,1,15,7,357,3619
Sonora,1485,414,31,0,NA,NA,9,5,83,2027
Tabasco,10,5,1,NA,NA,0,2,0,2,20
Tamaulipas,82,31,8,9,0,1,2,1,0,134
Tlaxcala,16,10,0,0,0,NA,0,NA,0,26
Veracruz,72,59,2,25,0,0,1,0,NA,159
Yucatán,5,9,0,9,0,NA,0,1,0,24
Zacatecas,1393,41,4,474,0,NA,9,NA,1,1922
TOTAL GLOBAL,90078,22946,2022,10451,9,20,344,94,7111,133075
