Estadp,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,983,9,1,NA,0,NA,0,NA,0,993
Baja California,14,40,2,2,NA,NA,0,0,17,75
Baja California Sur,69,2,5,NA,NA,NA,1,0,NA,77
Campeche,22,5,3,0,0,0,0,0,0,30
Coahuila,38,47,3,10,0,NA,0,NA,9,107
Colima,3229,1202,41,NA,0,NA,2,37,28,4539
Chiapas,91,17,16,24,NA,0,0,10,5,163
Chihuahua,75,51,0,68,NA,NA,0,NA,5,199
Distrito Federal,182,21,39,0,1,0,4,1,12,260
Durango,2760,122,0,499,0,NA,1,NA,3,3385
Guanajuato,7949,5486,164,1,NA,7,47,NA,3794,17448
Guerrero,16018,3125,456,2,NA,NA,45,11,0,19657
Hidalgo,82,1,2,7,0,0,0,NA,3,95
Jalisco,19569,5828,62,0,0,0,21,3,2555,28038
México,3080,24,4,0,2,NA,1,NA,158,3269
Michoacán,8639,1440,396,3407,NA,NA,34,4,NA,13920
Morelos,11963,3379,571,3,NA,NA,34,NA,NA,15950
Nayarit,4929,643,86,1504,9,NA,6,1,14,7192
Nuevo León,31,79,0,0,0,0,0,NA,14,124
Oaxaca,1981,86,86,1027,2,0,4,15,13,3214
Puebla,4967,549,50,2324,0,0,0,NA,43,7933
Querétaro,619,1206,63,0,2,NA,NA,NA,39,1929
Quintana Roo,24,23,5,NA,NA,NA,0,0,NA,52
San Luis Potosí,98,78,4,53,NA,1,0,NA,8,242
Sinaloa,1888,863,84,1071,4,0,11,14,349,4284
Sonora,2074,538,59,0,NA,NA,7,1,103,2782
Tabasco,9,9,0,NA,NA,0,2,0,1,21
Tamaulipas,109,34,8,24,0,1,0,0,7,183
Tlaxcala,20,7,0,0,0,NA,0,NA,0,27
Veracruz,96,53,2,25,0,0,0,0,NA,176
Yucatán,12,15,4,14,0,NA,0,0,0,45
Zacatecas,1467,49,1,436,0,NA,3,NA,0,1956
TOTAL GLOBAL,93087,25031,2217,10501,20,9,223,97,7180,138365
