Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,970,16,0,NA,0,NA,0,NA,0,986
Baja California,21,47,2,0,NA,NA,0,1,15,86
Baja California Sur,47,8,10,NA,NA,NA,0,1,NA,66
Campeche,43,11,5,2,0,0,0,0,0,61
Coahuila,57,35,3,8,0,NA,0,NA,5,108
Colima,3506,1133,42,NA,0,NA,2,29,61,4773
Chiapas,122,28,30,34,NA,0,0,1,7,222
Chihuahua,82,47,4,84,NA,NA,0,NA,7,224
Distrito Federal,198,15,41,0,0,0,4,1,10,269
Durango,2694,43,1,494,0,NA,0,NA,2,3234
Guanajuato,8461,3359,261,0,NA,20,30,NA,3090,15221
Guerrero,17139,2639,697,0,NA,NA,20,3,NA,20498
Hidalgo,117,0,0,5,0,0,0,NA,3,125
Jalisco,18910,5538,59,3,0,0,3,0,2384,26897
México,3939,28,10,1,9,NA,0,NA,177,4164
Michoacán,8869,2811,401,3752,NA,NA,35,3,NA,15871
Morelos,11750,2799,708,11,NA,NA,68,NA,NA,15336
Nayarit,4735,462,89,1574,10,NA,3,1,6,6880
Nuevo León,39,70,2,0,NA,0,0,NA,23,134
Oaxaca,2090,103,95,1014,5,0,3,17,4,3331
Puebla,5648,513,60,1959,0,0,0,NA,29,8209
Querétaro,668,1596,65,0,0,NA,0,NA,40,2369
Quintana Roo,28,21,6,NA,NA,NA,0,0,NA,55
San Luis Potosí,80,98,5,48,NA,0,0,NA,8,239
Sinaloa,2127,878,106,1128,13,0,3,13,394,4662
Sonora,1741,642,54,0,NA,NA,3,0,152,2592
Tabasco,16,14,3,NA,NA,0,0,0,0,33
Tamaulipas,98,43,7,16,1,2,3,0,12,182
Tlaxcala,28,3,0,0,0,NA,0,NA,0,31
Veracruz,85,39,0,23,0,0,2,0,NA,149
Yucatán,6,15,0,13,0,NA,0,0,0,34
Zacatecas,1520,50,3,478,0,NA,4,NA,0,2055
TOTAL GLOBAL,95834,23104,2769,10647,38,22,183,70,6429,139096
