Estado ,Salud,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes ,1855,48,1,S/R,0,S/R,1,S/R,7,1912
Baja California ,54,105,1,3,S/R,S/R,0,0,41,204
Baja California Sur ,59,26,12,S/R,S/R,S/R,0,2,S/R,99
Campeche ,45,17,12,12,0,0,0,0,1,87
Coahuila ,93,84,0,17,0,S/R,3,S/R,8,205
Colima ,7745,2245,86,S/R,0,S/R,0,32,74,10182
Chiapas ,144,93,71,77,S/R,0,0,0,0,385
Chihuahua ,152,74,11,147,S/R,S/R,0,S/R,21,405
Distrito Federal ,356,23,60,0,4,0,9,0,8,460
Durango ,4761,86,6,1038,0,S/R,4,S/R,1,5896
Guanajuato ,19874,674,282,2,S/R,43,58,S/R,5413,26346
Guerrero ,40967,5820,1281,7,S/R,S/R,28,56,S/R,48159
Hidalgo ,164,0,0,31,0,0,0,S/R,1,196
Jalisco ,39610,12709,30,4,0,0,16,14,4397,56780
M‚xico ,8886,80,7,4,2,S/R,5,S/R,276,9260
Michoac n ,18045,5948,884,8784,S/R,S/R,70,20,S/R,33751
Morelos ,26291,6043,894,12,S/R,S/R,175,S/R,S/R,33415
Nayarit ,9969,1551,121,3725,66,S/R,13,0,40,15485
Nuevo Le¢n ,61,198,0,0,S/R,0,0,S/R,31,290
Oaxaca ,3403,195,189,1942,0,1,7,26,12,5775
Puebla ,10514,998,54,4107,0,0,2,S/R,44,15719
Quer‚taro ,1110,2704,133,0,3,S/R,2,S/R,66,4018
Quintana Roo ,90,78,16,S/R,S/R,S/R,1,1,S/R,186
San Luis Potos¡ ,107,118,11,58,S/R,1,1,S/R,16,312
Sinaloa ,3697,2232,204,2157,31,0,4,9,825,9159
Sonora ,2836,1301,128,1,S/R,S/R,2,5,210,4483
Tabasco ,19,17,2,S/R,S/R,0,1,4,3,46
Tamaulipas ,173,89,3,33,0,0,0,0,9,307
Tlaxcala ,48,14,1,0,0,S/R,0,S/R,0,63
Veracruz ,118,128,4,39,1,1,2,7,S/R,300
Yucat n ,4,0,5,34,0,S/R,0,0,0,43
Zacatecas ,2644,97,13,983,0,S/R,1,S/R,0,3738
TOTAL GLOBAL ,203894,43795,4522,23217,107,46,405,176,11504,287666
