Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,InstituciónDIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,897,84,1,S.R.,0,S.R.,0,S.R.,1,983
Baja California,22,34,0,4,S.R.,S.R.,0,0,2,62
Baja California Sur,22,11,4,S.R.,S.R.,S.R.,0,0,S.R.,37
Campeche,19,10,1,2,0,1,0,0,2,35
Coahuila,22,67,0,3,0,S.R.,0,S.R.,2,94
Colima,4869,1523,24,S.R.,0,S.R.,0,35,65,6516
Chiapas,60,55,24,13,S.R.,0,0,1,2,155
Chihuahua,70,31,2,53,S.R.,S.R.,0,S.R.,29,185
Distrito Federal,165,6,31,0,0,0,1,0,19,222
Durango,3092,57,7,480,0,S.R.,0,S.R.,0,3636
Guanajuato,10407,503,163,0,S.R.,18,13,S.R.,2901,14005
Guerrero,22001,2576,590,0,S.R.,S.R.,41,10,0,25218
Hidalgo,69,0,0,9,0,0,0,S.R.,2,80
Jalisco,19194,4312,71,0,0,0,14,2,2833,26426
México,4468,45,6,4,5,S.R.,1,S.R.,223,4752
Michoacán,7552,3085,326,4932,S.R.,S.R.,19,7,S.R.,15921
Morelos,15318,2416,473,0,S.R.,S.R.,15,S.R.,S.R.,18222
Nayarit,4164,952,65,2168,7,S.R.,3,0,3,7362
Nuevo León,19,68,0,0,S.R.,0,0,S.R.,17,104
Oaxaca,1294,76,62,930,0,2,5,1,2,2372
Puebla,4930,424,32,1781,0,0,0,S.R.,33,7200
Querétaro,957,1497,53,0,1,S.R.,1,S.R.,42,2551
Quintana Roo,32,45,24,S.R.,S.R.,S.R.,0,0,0,101
San Luis Potosí,64,30,4,15,S.R.,1,0,S.R.,5,119
Sinaloa,1782,919,82,1119,3,1,12,12,308,4238
Sonora,1348,658,50,0,S.R.,S.R.,0,4,112,2172
Tabasco,12,9,1,S.R.,S.R.,0,0,0,7,29
Tamaulipas,74,45,0,12,1,0,0,0,0,132
Tlaxcala,16,9,0,0,0,S.R.,0,S.R.,0,25
Veracruz,36,52,1,15,0,0,0,1,0,105
Yucatán,1,9,0,12,0,S.R.,0,0,6,28
Zacatecas,1276,57,8,478,0,S.R.,0,S.R.,0,1819
TOTAL GLOBAL,104252,19665,2105,12030,17,23,125,73,6616,144906
