Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,InstituciónDIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,1040,64,1,S.R.,0,S.R.,0,S.R.,0,1105
Baja California,19,36,1,9,S.R.,S.R.,0,0,2,67
Baja California Sur,47,18,4,S.R.,S.R.,S.R.,0,0,S.R.,69
Campeche,29,12,11,3,0,0,0,0,4,59
Coahuila,32,73,0,4,0,S.R.,0,S.R.,0,109
Colima,3708,1456,28,S.R.,0,S.R.,0,36,37,5265
Chiapas,77,88,25,14,S.R.,0,0,2,2,208
Chihuahua,95,58,3,74,S.R.,S.R.,0,S.R.,36,266
Distrito Federal,215,12,32,1,1,1,1,0,28,291
Durango,3473,70,4,485,0,S.R.,0,S.R.,1,4033
Guanajuato,13080,588,224,0,S.R.,24,25,S.R.,2602,16543
Guerrero,21994,3218,782,1,S.R.,S.R.,52,19,0,26066
Hidalgo,114,2,0,23,0,0,0,S.R.,0,139
Jalisco,18155,4541,70,1,0,0,5,7,3009,25788
México,4732,45,6,2,9,S.R.,0,S.R.,235,5029
Michoacán,7891,3145,375,4743,S.R.,S.R.,26,5,S.R.,16185
Morelos,15150,2577,631,1,S.R.,S.R.,30,S.R.,S.R.,18389
Nayarit,3856,800,116,1502,2,S.R.,5,1,1,6283
Nuevo León,32,74,0,0,S.R.,0,0,S.R.,17,123
Oaxaca,1645,105,89,1189,0,0,2,3,4,3037
Puebla,5482,509,27,1986,0,0,0,S.R.,35,8039
Querétaro,1199,1730,75,0,1,S.R.,1,S.R.,46,3052
Quintana Roo,50,54,28,S.R.,S.R.,S.R.,0,0,3,135
San Luis Potosí,78,22,5,32,S.R.,2,0,S.R.,9,148
Sinaloa,2259,1293,117,1279,0,0,7,12,316,5283
Sonora,2143,1040,110,0,S.R.,S.R.,3,2,122,3420
Tabasco,15,14,1,S.R.,S.R.,0,0,0,7,37
Tamaulipas,114,63,0,25,0,1,0,0,2,205
Tlaxcala,30,8,0,0,0,S.R.,0,S.R.,0,38
Veracruz,70,43,2,29,0,0,4,5,0,153
Yucatán,1,16,4,16,0,S.R.,0,0,8,45
Zacatecas,1325,43,3,506,0,S.R.,0,S.R.,0,1877
TOTAL GLOBAL,108150,21817,2774,11925,13,28,161,92,6526,151486
