Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes ,1016,76,6,S.R.,0,S.R.,0,S.R.,5,1103
Baja California ,26,28,0,8,S.R.,S.R.,0,0,0,62
Baja California Sur ,38,9,7,S.R.,S.R.,S.R.,0,0,S.R.,54
Campeche ,14,10,4,1,0,0,0,0,1,30
Coahuila ,21,66,1,6,1,S.R.,2,S.R.,5,102
Colima ,4869,1827,20,S.R.,0,S.R.,1,23,62,6802
Chiapas ,62,54,9,15,S.R.,0,0,2,2,144
Chihuahua ,88,33,3,75,S.R.,S.R.,0,S.R.,10,209
Distrito Federal ,151,3,17,1,4,0,0,0,32,208
Durango ,3275,28,4,529,0,S.R.,S.R.,0,0,3836
Guanajuato ,11258,3198,202,0,S.R.,29,21,S.R.,1272,15980
Guerrero ,25470,2621,689,79,S.R.,S.R.,58,3,0,28920
Hidalgo ,86,1,0,13,0,0,0,S.R.,1,101
Jalisco ,19648,4893,62,0,0,0,8,1,2487,27099
Mexico ,4833,41,9,3,4,S.R.,1,S.R.,204,5095
Michoacan ,7221,3297,431,5804,S.R.,S.R.,4,15,S.R.,16772
Morelos ,14412,1149,457,0,S.R.,S.R.,24,S.R.,S.R.,16042
Nayarit ,4667,1364,109,2480,0,S.R.,0,1,7,8628
Nuevo Leon ,32,49,0,0,S.R.,0,0,S.R.,19,100
Oaxaca ,1204,74,71,959,0,0,2,5,3,2318
Puebla ,5014,459,29,1742,0,1,0,S.R.,29,7274
Querataro ,1038,1555,40,0,0,S.R.,0,S.R.,38,2671
Quintana Roo ,20,15,10,S.R.,S.R.,S.R.,0,0,0,45
San Luis Potosí ,84,39,2,41,S.R.,0,0,S.R.,3,169
Sinaloa ,2226,936,78,1307,3,0,8,8,268,4834
Sonora ,1415,841,51,0,S.R.,S.R.,0,0,135,2442
Tabasco ,8,16,0,S.R.,S.R.,0,0,0,2,26
Tamaulipas ,86,61,0,28,15,0,1,4,0,195
Tlaxcala ,8,12,2,0,0,S.R.,0,S.R.,0,22
Veracruz ,41,50,4,14,0,0,0,0,1,110
Yucatan ,2,10,0,11,0,S.R.,0,0,0,23
Zacatecas ,1204,53,2,432,0,S.R.,1,S.R.,0,1692
TOTAL GLOBAL ,109537,22868,2319,13548,27,30,131,62,4586,153108
