Estado ,Salud,IMSS-Ord,ISSSTE,Fuentedenotificaci¢nIMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes ,1991,20,7,S.R.,0,S.R.,0,S.R.,4,2022
Baja California ,53,78,1,16,S.R.,S.R.,0,0,4,152
Baja California Sur ,44,12,5,S.R.,S.R.,S.R.,0,0,S.R.,61
Campeche ,34,25,5,6,0,0,0,0,5,75
Coahuila ,52,161,0,8,0,S.R.,0,S.R.,4,225
Colima ,8452,3047,53,S.R.,0,S.R.,9,36,120,11717
Chiapas ,150,139,24,23,S.R.,1,0,3,9,349
Chihuahua ,155,63,8,128,S.R.,S.R.,1,S.R.,42,397
Distrito Federal ,445,12,58,0,0,0,0,0,43,558
Durango ,8255,41,1,1315,0,S.R.,1,0,3,9616
Guanajuato ,23208,6520,574,0,S.R.,44,96,S.R.,2907,33349
Guerrero ,56624,3332,1512,501,S.R.,S.R.,124,13,0,62106
Hidalgo ,215,2,1,15,0,0,0,S.R.,4,237
Jalisco ,38451,10797,153,1,0,0,14,0,4887,54303
M‚xico ,11048,131,17,2,4,S.R.,4,S.R.,432,11638
Michoac n ,17368,6854,919,10368,S.R.,S.R.,0,17,S.R.,35526
Morelos ,28298,4375,1046,0,S.R.,S.R.,49,S.R.,S.R.,33768
Nayarit ,9416,2661,214,4058,5,S.R.,0,0,0,16354
Nuevo Le¢n ,71,94,2,0,S.R.,0,0,S.R.,12,179
Oaxaca ,2964,180,177,2350,0,0,6,17,12,5706
Puebla ,8456,830,82,4065,0,0,0,S.R.,65,13498
Quer‚taro ,2249,3294,148,0,3,S.R.,0,S.R.,59,5753
Quintana Roo ,71,35,18,S.R.,S.R.,S.R.,0,0,0,124
San Luis Potos¡ ,157,101,6,90,S.R.,1,1,S.R.,22,378
Sinaloa ,4444,2230,214,2541,1,0,17,21,735,10203
Sonora ,3620,1878,106,0,S.R.,S.R.,0,12,269,5885
Tabasco ,12,21,2,S.R.,S.R.,1,0,0,4,40
Tamaulipas ,249,194,0,45,6,1,1,0,4,500
Tlaxcala ,27,24,1,0,0,S.R.,0,S.R.,0,52
Veracruz ,115,90,4,33,0,1,1,0,0,244
Yucat n ,5,16,0,21,1,S.R.,0,0,0,43
Zacatecas ,2696,144,11,1329,0,S.R.,8,S.R.,0,4188
TOTAL GLOBAL ,229395,47401,5369,26915,20,49,332,119,9646,319246
