Estado ,Salud,IMSS-Ord,ISSSTE,Fuentedenotificaci¢nIMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes ,1024,9,4,S.R.,0,S.R.,0,S.R.,3,1040
Baja California ,31,45,0,12,S.R.,S.R.,0,0,1,89
Baja California Sur ,28,7,2,S.R.,S.R.,S.R.,0,0,S.R.,37
Campeche ,25,11,4,3,0,0,0,0,3,46
Coahuila ,31,89,0,3,0,S.R.,0,S.R.,2,125
Colima ,3688,1368,21,S.R.,0,S.R.,0,18,49,5144
Chiapas ,86,92,16,10,S.R.,0,0,3,6,213
Chihuahua ,95,33,3,63,S.R.,S.R.,0,S.R.,22,216
Distrito Federal ,228,4,39,0,0,0,0,0,26,297
Durango ,4281,23,1,651,0,S.R.,1,0,1,4958
Guanajuato ,13029,3561,350,0,S.R.,20,47,S.R.,1297,18304
Guerrero ,27519,1927,856,247,S.R.,S.R.,70,8,0,30627
Hidalgo ,127,2,1,8,0,0,0,S.R.,4,142
Jalisco ,18637,5447,70,1,0,0,3,0,2611,26769
M‚xico ,5730,75,9,0,2,S.R.,2,S.R.,240,6058
Michoac n ,8968,3659,514,5089,S.R.,S.R.,0,7,S.R.,18237
Morelos ,13778,2198,558,0,S.R.,S.R.,28,S.R.,S.R.,16562
Nayarit ,4542,1252,123,1631,2,S.R.,0,0,0,7550
Nuevo Le¢n ,47,58,2,0,S.R.,0,0,S.R.,4,111
Oaxaca ,1682,123,104,1305,0,0,3,8,9,3234
Puebla ,4404,441,51,2073,0,0,0,S.R.,34,7003
Quer‚taro ,1242,1778,82,0,2,S.R.,0,S.R.,33,3137
Quintana Roo ,43,22,10,S.R.,S.R.,S.R.,0,0,0,75
San Luis Potos¡ ,98,57,5,60,S.R.,1,1,S.R.,15,237
Sinaloa ,2544,1332,142,1371,0,0,12,15,342,5758
Sonora ,2117,1177,73,0,S.R.,S.R.,0,5,153,3525
Tabasco ,7,12,1,S.R.,S.R.,1,0,0,1,22
Tamaulipas ,152,111,0,29,3,0,0,0,4,299
Tlaxcala ,17,12,0,0,0,S.R.,0,S.R.,0,29
Veracruz ,59,50,2,24,0,1,1,0,0,137
Yucat n ,4,9,0,14,1,S.R.,0,0,0,28
Zacatecas ,1379,77,6,656,0,S.R.,2,S.R.,0,2120
TOTAL GLOBAL ,115642,25061,3049,13250,10,23,170,64,4860,162129
