Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,4,85,103,189,110,75,229,37,67,23,83,0,1005
Baja California ,0,4,3,7,6,3,21,1,2,0,0,0,47
Baja California Sur ,0,7,5,8,9,6,12,1,6,2,4,0,60
Campeche ,0,0,0,1,1,1,4,0,0,0,0,0,7
Coahuila ,0,0,10,4,6,6,26,2,5,3,2,0,64
Colima ,27,333,408,646,681,624,1673,245,377,164,298,19,5495
Chiapas ,1,9,10,9,16,4,21,6,9,5,6,0,96
Chihuahua ,3,29,30,13,11,13,32,10,10,3,11,0,165
Distrito Federal ,3,21,17,30,13,20,57,9,17,4,6,0,197
Durango ,20,226,341,416,384,282,748,133,166,75,151,0,2942
Guanajuato ,91,1346,1823,2157,1786,1519,3712,498,782,332,762,2,14810
Guerrero ,197,2200,2853,3110,2581,1685,4218,795,1275,580,1365,11,20870
Hidalgo ,0,9,16,7,11,6,36,7,14,5,8,0,119
Jalisco ,241,2640,3283,4052,3609,2774,7532,1261,1932,865,1952,53,30194
M‚xico ,40,420,525,594,434,238,577,125,142,79,144,1,3319
Michoac n ,139,1658,2060,2356,2086,1373,3317,640,874,379,888,11,15781
Morelos ,81,1495,1886,2193,1838,1379,3625,844,1109,551,1040,23,16064
Nayarit ,62,557,743,983,936,756,2043,353,569,269,512,3,7786
Nuevo Le¢n ,1,4,5,7,10,13,23,5,3,1,3,0,75
Oaxaca ,20,238,259,340,231,132,383,96,146,75,227,5,2152
Puebla ,39,713,918,1264,1087,659,1572,439,602,278,672,6,8249
Quer‚taro ,25,174,196,194,230,194,653,80,96,37,60,0,1939
Quintana Roo ,2,5,5,2,7,6,29,2,5,2,1,0,66
San Luis Potos¡ ,3,15,12,18,19,10,48,7,14,10,7,1,164
Sinaloa ,25,306,389,444,376,296,766,167,243,114,274,2,3402
Sonora ,30,340,318,259,180,151,366,64,84,31,71,1,1895
Tabasco ,0,1,0,2,0,1,4,0,0,0,0,0,8
Tamaulipas ,0,19,15,14,15,11,46,8,11,0,3,0,142
Tlaxcala ,0,2,2,3,3,2,3,1,0,0,0,0,16
Veracruz ,2,15,8,11,11,8,25,3,3,2,8,1,97
Yucat n ,0,2,4,3,3,2,6,1,0,0,5,0,26
Zacatecas ,8,181,259,239,212,165,425,81,94,58,168,4,1894
TOTAL GLOBAL ,1064,13054,16506,19575,16902,12414,32232,5921,8657,3947,8731,143,139146
