Estado ,< 1 ,01-abr,05-sep,oct-14,15 - 19 ,20 - 24 ,25 - 44 ,45 - 49 ,50 - 59 ,60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,3,78,126,148,128,79,192,24,60,19,83,0,940
Baja California ,0,5,5,9,11,2,26,2,4,0,0,1,65
Baja California Sur ,0,8,9,4,5,4,18,3,4,2,0,0,57
Campeche ,0,1,2,1,2,1,6,0,1,0,0,0,14
Coahuila ,0,6,9,9,10,11,19,3,6,1,4,0,78
Colima ,18,257,392,560,669,600,1624,274,428,167,337,9,5335
Chiapas ,0,12,9,16,19,12,40,9,14,6,6,0,143
Chihuahua ,4,28,31,22,14,14,46,6,9,4,13,0,191
Distrito Federal ,1,19,24,32,26,18,54,8,11,0,9,0,202
Durango ,37,257,348,399,399,319,813,150,192,78,156,3,3151
Guanajuato ,116,1227,1773,2081,1904,1470,3817,552,854,315,729,2,14840
Guerrero ,183,1989,2572,2955,2252,1497,3918,729,1172,525,1215,8,19015
Hidalgo ,1,4,15,7,6,3,10,3,2,2,2,0,55
Jalisco ,175,2271,3248,3624,3438,2574,6966,1197,1775,779,1754,47,27848
M‚xico ,25,412,499,507,404,223,585,122,167,67,155,0,3166
Michoac n ,112,1405,1785,2069,1777,1217,2901,564,739,315,770,7,13661
Morelos ,84,1508,1923,2067,1978,1380,3687,859,1259,588,1049,21,16403
Nayarit ,70,603,816,975,1063,864,2286,470,628,326,611,4,8716
Nuevo Le¢n ,0,7,15,8,9,4,24,2,6,2,3,0,80
Oaxaca ,16,255,292,347,256,176,408,93,157,68,235,0,2303
Puebla ,35,607,805,1036,880,591,1318,329,499,229,629,2,6960
Quer‚taro ,24,158,179,174,214,151,576,51,110,42,60,0,1739
Quintana Roo ,2,7,8,3,5,3,17,1,3,1,1,0,51
San Luis Potos¡ ,3,10,20,14,15,8,27,5,14,5,10,0,131
Sinaloa ,26,311,387,465,422,305,868,169,264,103,291,8,3619
Sonora ,34,354,278,258,188,171,416,87,101,30,109,1,2027
Tabasco ,0,3,2,1,3,3,3,0,2,1,2,0,20
Tamaulipas ,1,14,16,12,9,17,44,3,6,2,10,0,134
Tlaxcala ,0,1,3,1,6,2,10,1,1,0,1,0,26
Veracruz ,2,26,16,12,15,11,39,8,18,3,9,0,159
Yucat n ,0,3,1,5,2,1,9,2,0,0,1,0,24
Zacatecas ,8,169,210,253,209,166,409,94,132,77,194,1,1922
TOTAL GLOBAL ,980,12015,15818,18074,16338,11897,31176,5820,8638,3757,8448,114,133075
