Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,6,137,196,251,259,220,474,83,102,68,116,0,1912
Baja California ,3,13,13,24,23,25,68,11,10,2,12,0,204
Baja California Sur ,0,10,6,8,11,12,31,3,10,1,7,0,99
Campeche ,0,4,1,3,10,18,29,4,7,6,5,0,87
Coahuila ,1,23,28,19,35,29,52,8,8,1,1,0,205
Colima ,41,586,673,957,1258,1229,3245,578,812,288,508,7,10182
Chiapas ,2,37,25,21,31,48,121,23,41,12,24,0,385
Chihuahua ,9,60,43,42,40,42,92,27,21,13,15,1,405
Distrito Federal ,2,26,40,54,46,58,158,20,36,6,14,0,460
Durango ,38,380,540,639,765,669,1685,301,409,149,321,0,5896
Guanajuato ,132,2003,2791,3378,3527,2844,7151,1188,1525,554,1253,0,26346
Guerrero ,286,4175,5449,6194,6054,4367,11658,2122,3344,1278,3172,60,48159
Hidalgo ,0,9,9,20,18,19,63,15,24,4,15,0,196
Jalisco ,351,4148,5568,6164,6735,5948,16227,2543,4064,1585,3361,86,56780
M‚xico ,76,947,1284,1244,1277,859,1964,389,501,226,491,2,9260
Michoac n ,262,2887,3688,4091,4269,3473,8606,1506,2178,870,1912,9,33751
Morelos ,146,2640,3464,3610,3962,3434,8434,1786,2768,1041,2087,43,33415
Nayarit ,89,1004,1232,1607,1902,1647,4408,843,1119,488,1018,128,15485
Nuevo Le¢n ,3,18,18,26,20,31,134,9,12,10,9,0,290
Oaxaca ,38,389,576,646,671,523,1331,311,474,202,608,6,5775
Puebla ,69,1116,1559,1786,1961,1565,3597,866,1306,549,1343,2,15719
Quer‚taro ,37,288,331,402,410,388,1425,192,294,88,163,0,4018
Quintana Roo ,4,15,11,11,12,23,70,14,12,6,8,0,186
San Luis Potos¡ ,4,19,26,33,27,28,98,13,35,8,21,0,312
Sinaloa ,71,654,817,974,1027,904,2402,521,788,353,644,4,9159
Sonora ,43,497,505,513,485,398,1060,187,313,104,238,140,4483
Tabasco ,0,5,5,3,4,3,14,2,3,3,4,0,46
Tamaulipas ,3,29,30,23,23,28,117,17,18,5,11,3,307
Tlaxcala ,0,9,6,5,6,6,19,3,3,1,5,0,63
Veracruz ,4,21,13,20,28,35,88,22,32,15,22,0,300
Yucat n ,0,1,2,4,6,3,10,5,7,2,3,0,43
Zacatecas ,14,255,349,403,430,408,949,215,264,124,317,10,3738
TOTAL GLOBAL ,1734,22405,29298,33175,35332,29284,75780,13827,20540,8062,17728,501,287666
