Estado,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,2,62,96,151,175,142,313,56,94,29,72,0,1192
Baja California ,1,6,3,9,9,9,22,1,5,2,2,0,69
Baja California Sur ,1,7,4,6,11,14,34,2,5,3,2,0,89
Campeche ,1,1,0,3,4,7,15,5,4,3,9,0,52
Coahuila ,2,7,6,13,9,22,57,8,5,0,0,0,129
Colima ,20,300,325,403,624,595,1771,237,470,131,301,136,5313
Chiapas ,2,6,5,13,24,24,71,10,19,6,7,0,187
Chihuahua ,5,28,24,26,31,22,85,19,11,7,18,0,276
Distrito Federal ,0,9,19,37,34,25,65,16,24,9,9,0,247
Durango ,29,239,312,417,546,484,1192,255,295,121,219,0,4109
Guanajuato ,103,1341,1879,2234,2220,2165,5787,955,1424,446,944,12,19510
Guerrero ,198,2323,2904,3141,3502,2992,7808,1398,2169,789,1764,14,29002
Hidalgo ,1,7,10,19,12,12,49,10,13,4,11,0,148
Jalisco ,132,1823,2343,2782,2954,3058,8125,1374,2060,693,1367,46,26757
M‚xico ,49,497,592,694,707,597,1321,227,346,109,294,252,5685
Michoac n ,139,1374,1553,1853,2196,2132,4805,926,1222,499,901,3,17603
Morelos ,60,1168,1566,1798,1986,1883,4519,815,1264,404,840,10,16313
Nayarit ,57,467,651,718,916,811,2071,399,561,222,406,2,7281
Nuevo Le¢n ,1,5,7,7,13,21,48,9,16,5,7,0,139
Oaxaca ,12,185,239,278,366,294,808,215,264,112,317,2,3092
Puebla ,38,467,678,780,944,946,2063,462,663,299,722,6,8068
Quer‚taro ,7,148,175,216,304,330,1090,179,278,81,163,0,2971
Quintana Roo ,1,3,5,4,6,12,16,6,5,0,2,2,62
San Luis Potos¡ ,0,11,12,20,23,34,71,14,21,7,24,0,237
Sinaloa ,25,334,424,472,589,636,1741,325,543,224,398,5,5716
Sonora ,31,278,349,372,416,391,1048,184,345,105,203,2,3724
Tabasco ,0,4,3,2,1,11,20,1,7,1,0,0,50
Tamaulipas ,4,25,25,18,29,35,107,22,26,7,24,1,323
Tlaxcala ,0,2,1,3,2,7,11,1,4,2,3,0,36
Veracruz ,0,11,9,8,20,17,40,10,26,5,13,0,159
Yucat n ,0,2,2,4,1,5,15,1,2,2,2,0,36
Zacatecas ,5,114,157,181,200,201,494,108,162,75,176,3,1876
TOTAL GLOBAL ,926,11254,14378,16682,18874,17934,45682,8250,12353,4402,9220,496,160451
