Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,133.48,703,14,17,59,71,82,75,77,84,71,71,49,33
BajaCalifornia,3.55,50,0,0,4,3,8,8,10,8,7,1,1,0
BajaCaliforniaSur,20.14,48,0,0,1,4,10,9,3,3,8,8,1,1
Campeche,5.31,20,0,1,2,2,1,0,3,4,2,3,1,1
Coahuila,4.33,54,5,0,1,1,3,13,8,9,4,7,3,0
Colima,1685.96,4919,203,278,431,394,407,549,405,536,382,524,521,289
Chiapas,4.57,99,8,10,7,10,10,8,6,3,7,7,11,12
Chihuahua,13.44,224,3,4,8,11,28,38,42,41,23,14,8,4
DistritoFederal,4.21,190,10,6,20,17,21,25,15,23,15,22,13,3
Durango,330.26,2571,67,76,164,227,374,423,262,312,177,219,160,110
Guanajuato,480.89,12404,431,540,1223,1579,1566,1357,859,1103,884,1190,1148,524
Guerrero,868.58,14205,806,835,1262,1100,1338,1592,1127,1360,1047,1305,1676,757
Hidalgo,12.03,145,4,3,14,16,14,19,20,19,12,11,12,1
Jalisco,689.22,23440,1287,1173,2357,2647,2645,2557,1622,2040,1745,2145,2082,1140
Mí©xico,35.93,2597,120,114,230,249,322,242,184,206,193,286,323,128
Michoacíçn,552.34,11890,523,594,1173,1068,1314,1161,821,1120,966,1220,1308,622
Morelos,1409.85,12054,484,553,1354,1399,1329,1334,899,1080,870,971,1166,615
Nayarit,1312.27,6437,299,238,494,448,495,899,698,704,658,599,541,364
NuevoLeí_n,8.77,182,1,1,4,59,18,17,9,53,12,8,0,0
Oaxaca,122.32,2297,116,125,243,194,234,244,200,233,197,176,196,139
Puebla,281.35,7812,336,355,934,816,846,805,616,817,516,582,715,474
Querí©taro,252.1,1996,67,72,164,178,238,268,175,224,157,181,199,73
QuintanaRoo,8.45,43,1,4,8,5,3,7,4,2,6,1,2,0
SanLuisPotosí_,15.47,188,5,4,12,17,19,30,28,33,15,13,8,4
Sinaloa,317.86,4308,162,165,297,222,360,575,414,660,506,452,309,186
Sonora,272.21,3282,49,52,153,184,416,658,617,473,317,229,93,41
Tabasco,1.67,17,2,0,5,1,5,0,2,0,0,0,2,0
Tamaulipas,17.81,275,3,7,14,18,21,22,19,28,27,102,10,4
Tlaxcala,5.27,28,0,0,0,2,1,1,2,2,4,16,0,0
Veracruz,3.68,135,1,11,10,19,23,15,5,18,9,11,7,6
Yucatíçn,2.8,25,0,3,5,3,0,2,3,2,2,3,1,1
Zacatecas,172.65,1251,51,29,93,122,133,199,117,120,107,130,93,57
TOTALGLOBAL,215.07,113889,5058,5270,10746,11086,12284,13152,9272,11320,8946,10507,10659,5589
