Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,1761,55,92,114,206,289,182,165,186,170,132,117,53
BajaCalifornia,149,5,3,5,8,15,13,20,33,23,8,9,7
BajaCaliforniaSur,119,1,9,5,4,19,17,14,21,14,6,7,2
Campeche,36,5,6,7,3,2,2,2,4,1,2,2,0
Coahuila,135,4,4,4,5,18,33,24,26,10,4,3,0
Colima,9726,655,692,648,745,772,782,852,973,887,1124,1009,587
Chiapas,286,16,20,31,21,41,29,20,25,16,21,25,21
Chihuahua,325,8,8,16,22,54,27,22,67,48,29,19,5
DistritoFederal,394,26,19,40,34,42,31,41,51,25,36,24,25
Durango,5775,213,174,234,538,972,847,658,626,489,450,372,202
Guanajuato,26419,879,1506,1937,3435,4180,2956,1944,2175,1906,2027,2076,1398
Guerrero,33154,1759,1900,2560,2760,3282,2646,2717,3252,2672,3417,4008,2181
Hidalgo,250,5,9,14,28,33,24,22,51,22,21,13,8
Jalisco,50313,2626,2685,4173,5265,6706,4670,4097,4352,4127,4459,4481,2672
Mí©xico,5757,266,270,455,638,650,622,423,442,464,537,644,346
Michoacíçn,27036,1260,1343,1943,2457,2959,2468,2123,2419,2334,2804,3253,1673
Morelos,31559,1074,1659,2806,3477,3851,2673,2431,2620,2465,3737,3260,1506
Nayarit,13466,638,711,857,910,1345,1116,1293,1578,1239,1593,1470,716
NuevoLeí_n,122,2,2,5,9,10,14,25,14,14,10,13,4
Oaxaca,4692,194,285,453,448,549,370,388,483,395,374,474,279
Puebla,16575,785,1001,1807,1944,1970,1403,1276,1480,1219,1311,1419,960
Querí©taro,3773,171,180,244,404,545,474,302,305,370,324,277,177
QuintanaRoo,142,7,8,16,10,11,16,12,16,14,13,10,9
SanLuisPotosí_,323,13,10,25,31,50,28,46,56,27,21,14,2
Sinaloa,6785,283,294,381,459,587,547,681,1017,881,738,641,276
Sonora,5248,71,78,187,317,705,810,738,792,668,468,251,163
Tabasco,38,0,3,0,3,15,4,3,3,2,3,2,0
Tamaulipas,307,11,5,17,33,56,36,31,39,29,26,18,6
Tlaxcala,37,0,2,5,0,3,7,3,4,6,6,1,0
Veracruz,179,6,12,14,26,30,14,15,19,12,15,13,3
Yucatíçn,58,2,1,2,1,3,8,3,11,7,12,3,5
Zacatecas,3037,109,121,145,278,492,329,325,340,287,226,243,142
TOTALGLOBAL,247976,11149,13112,19150,24519,30256,23198,20716,23480,20843,23954,24171,13428
