Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,174.43,940,36,41,74,118,125,112,105,76,81,90,54,28
BajaCalifornia,4.17,65,1,0,1,3,5,10,9,9,15,8,3,1
BajaCaliforniaSur,20.28,57,1,1,2,1,7,9,12,10,11,1,2,0
Campeche,3.62,14,3,1,1,0,0,1,1,3,1,2,1,0
Coahuila,6.06,78,0,4,2,7,6,9,18,17,6,6,3,0
Colima,1816.37,5335,437,322,337,365,337,407,612,477,520,681,451,389
Chiapas,6.57,143,13,9,9,14,14,12,10,8,12,18,14,10
Chihuahua,11.3,191,7,5,16,12,23,31,25,24,20,18,6,4
DistritoFederal,4.73,202,16,14,10,21,26,25,26,20,8,24,8,4
Durango,415.79,3151,101,122,174,357,501,449,416,276,248,261,165,81
Guanajuato,621.53,14840,870,595,1272,2404,2420,1584,1438,958,888,1148,684,579
Guerrero,1248.78,19015,1390,1070,1313,1840,1553,1727,1781,1335,1563,2138,2046,1259
Hidalgo,4.76,55,1,0,0,7,10,5,6,4,7,6,1,8
Jalisco,819.28,27848,1825,1515,2299,3231,2799,2887,2784,2229,2270,2743,1899,1367
MÃ©xico,44.01,3166,201,153,211,353,342,322,265,232,248,363,287,189
MichoacÃ¡n,712.24,13661,1004,741,940,1311,1245,1248,1303,1126,1215,1619,1163,746
Morelos,2036.61,16403,1087,997,1276,2251,1753,1426,1605,1235,1279,1609,1059,826
Nayarit,1815.91,8716,555,387,461,700,645,917,1135,836,931,1053,654,442
NuevoLeÃ_n,3.66,80,1,4,4,6,13,8,14,12,12,3,1,2
Oaxaca,135.33,2303,160,163,198,302,211,191,246,172,167,201,164,128
Puebla,260.1,6960,530,362,450,901,724,560,744,606,539,640,491,413
QuerÃ©taro,213.96,1739,89,85,115,233,223,176,205,135,169,129,107,73
QuintanaRoo,8.25,51,5,4,8,3,3,2,7,4,6,6,3,0
SanLuisPotosÃ_,10.95,131,4,1,13,11,5,19,20,20,15,11,9,3
Sinaloa,271.82,3619,165,121,144,200,274,350,453,449,531,498,261,173
Sonora,162.25,2027,42,42,93,165,281,368,322,254,203,175,64,18
Tabasco,2,20,1,0,0,0,1,4,4,4,3,1,2,0
Tamaulipas,8.59,134,4,8,13,18,6,18,13,18,9,17,6,4
Tlaxcala,4.84,26,0,0,0,1,4,5,6,5,4,0,0,1
Veracruz,4.55,159,10,12,16,12,6,16,14,20,19,17,8,9
YucatÃ¡n,2.57,24,2,1,6,2,1,1,0,5,2,4,0,0
Zacatecas,286.94,1922,73,57,144,230,237,243,223,182,174,210,97,52
TOTALGLOBAL,255.59,133075,8634,6837,9602,15079,13800,13142,13822,10761,11176,13700,9713,6809
