Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,170.84,986,48,44,48,159,106,126,100,55,124,89,49,38
BajaCalifornia,5.83,86,1,0,0,3,6,4,23,11,24,4,7,3
BajaCaliforniaSur,25.11,66,2,1,3,8,5,3,13,7,10,5,6,3
Campeche,15.38,61,26,4,3,2,4,3,5,1,7,2,1,3
Coahuila,8.3,108,3,2,1,10,10,27,16,12,10,7,4,6
Colima,1615.19,4773,300,271,283,440,388,374,482,435,463,471,406,460
Chiapas,9.8,222,15,16,13,27,25,18,22,17,16,20,18,15
Chihuahua,13.57,224,3,8,6,26,24,23,34,31,43,16,7,3
DistritoFederal,5.89,269,15,13,21,38,26,25,35,21,20,22,20,13
Durango,412.26,3234,87,145,157,336,374,497,447,300,321,247,160,163
Guanajuato,579.55,15221,656,865,1103,2615,2390,1863,1408,915,1229,910,553,714
Guerrero,1259.08,20498,1182,1288,1278,2186,1766,1828,1963,1525,1991,1880,1819,1792
Hidalgo,9.99,125,8,4,8,21,15,19,17,10,8,8,2,5
Jalisco,761.19,26897,1451,1640,2013,3684,3151,2762,2353,1666,2384,2301,1704,1788
Mí©xico,56.74,4164,182,186,189,453,379,384,412,277,418,491,435,358
Michoacíçn,766.92,15871,810,948,989,1871,1733,1505,1278,1141,1402,1432,1440,1322
Morelos,1804.26,15336,773,900,1125,2253,1718,1433,1355,986,1292,1280,1089,1132
Nayarit,1415.09,6880,344,305,318,650,627,653,795,562,830,700,551,545
NuevoLeí_n,6.14,134,0,4,3,12,13,20,18,29,19,10,3,3
Oaxaca,179.52,3331,198,235,243,382,339,311,312,272,248,265,229,297
Puebla,283.43,8209,389,522,705,1115,864,754,736,584,690,679,554,617
Querí©taro,274.58,2369,81,117,81,318,264,308,234,205,234,257,132,138
QuintanaRoo,8.77,55,5,3,4,8,8,4,3,3,11,2,3,1
SanLuisPotosí_,18.76,239,11,7,16,33,16,26,34,38,30,7,4,17
Sinaloa,354.54,4662,135,136,166,283,349,390,612,508,654,614,442,373
Sonora,211.36,2592,52,34,75,195,246,393,446,310,357,255,123,106
Tabasco,3.19,33,1,3,1,4,5,3,3,8,2,1,2,0
Tamaulipas,11.55,182,2,1,8,21,23,23,25,29,20,13,13,4
Tlaxcala,5.38,31,0,3,1,3,2,6,8,5,1,0,0,2
Veracruz,3.96,149,4,13,14,23,21,13,14,11,11,11,7,7
Yucatíçn,3.56,34,2,3,4,3,2,5,3,2,5,2,3,0
Zacatecas,288.19,2055,80,74,89,256,221,253,264,146,255,164,120,133
TOTALGLOBAL,256.56,139096,6866,7795,8968,17438,15120,14056,13470,10122,13129,12165,9906,10061
