Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,1026,29,42,58,91,140,164,102,101,138,64,47,50
BajaCalifornia,62,0,3,2,11,10,10,4,13,4,2,3,0
BajaCaliforniaSur,32,0,0,0,1,5,5,3,4,5,1,5,3
Campeche,32,2,3,6,2,1,4,0,4,5,4,0,1
Coahuila,108,2,0,5,13,17,18,14,8,19,7,1,4
Colima,5928,396,361,441,434,418,593,633,615,751,487,434,365
Chiapas,131,12,10,6,11,11,11,8,11,11,13,10,17
Chihuahua,184,2,4,7,6,23,30,33,19,29,23,6,2
DistritoFederal,234,12,14,30,19,36,26,18,24,22,4,17,12
Durango,3448,86,77,172,256,448,755,382,379,409,186,167,131
Guanajuato,13227,420,466,1181,1518,2120,1949,1194,1052,1253,949,612,513
Guerrero,23427,1846,1464,1933,1826,1904,2866,2020,1920,2188,2024,1923,1513
Hidalgo,68,1,1,5,4,11,11,5,8,8,4,4,6
Jalisco,26581,1505,1416,2326,2327,3018,3578,2323,2278,2672,2222,1631,1285
MÃ©xico,3964,213,191,284,341,413,606,304,308,391,402,280,231
MichoacÃ¡n,15834,897,876,1379,1362,1599,1931,1378,1418,1811,1321,1047,815
Morelos,15220,659,703,1360,1612,1768,2028,1263,1209,1617,1334,932,735
Nayarit,7483,434,387,571,477,574,942,846,812,934,683,442,381
NuevoLeÃ_n,78,1,0,2,6,7,16,7,16,14,5,3,1
Oaxaca,2371,147,129,236,221,228,335,177,180,211,194,172,141
Puebla,7432,391,439,756,785,769,932,655,556,638,562,458,491
QuerÃ©taro,2194,89,70,148,185,295,382,204,196,205,182,117,121
QuintanaRoo,73,2,4,4,5,11,9,9,5,4,8,7,5
SanLuisPotosÃ_,84,0,2,10,8,10,9,13,10,6,6,3,7
Sinaloa,3989,164,176,246,248,269,463,435,509,619,422,269,169
Sonora,1714,24,35,65,109,165,423,225,225,228,100,67,48
Tabasco,16,1,0,2,1,2,3,3,1,0,3,0,0
Tamaulipas,103,3,1,5,10,21,20,6,13,11,12,1,0
Tlaxcala,28,1,0,1,4,7,2,4,2,3,2,0,2
Veracruz,107,7,6,10,6,9,21,6,17,10,8,4,3
YucatÃ¡n,29,2,1,2,6,1,0,1,2,8,3,1,2
Zacatecas,1806,68,59,106,161,222,314,231,190,180,121,79,75
TOTALGLOBAL,137013,7416,6940,11359,12066,14532,18456,12506,12105,14404,11358,8742,7129
