Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,1053,30,32,67,96,184,152,93,115,139,58,52,35
BajaCalifornia,54,1,0,1,3,6,3,9,7,6,11,6,1
BajaCaliforniaSur,51,0,0,2,3,6,10,6,7,11,3,2,1
Campeche,56,2,3,7,11,7,5,2,8,4,4,1,2
Coahuila,157,1,0,5,15,31,33,18,23,15,9,4,3
Colima,4780,270,293,388,363,415,519,449,431,583,412,374,283
Chiapas,182,18,11,21,23,12,15,14,14,13,19,11,11
Chihuahua,213,13,4,6,18,19,26,37,25,32,17,11,5
DistritoFederal,308,15,22,24,37,44,40,19,28,27,20,17,15
Durango,3517,80,82,125,280,522,760,435,375,385,196,170,107
Guanajuato,16023,430,458,1329,1910,2877,2486,1269,1200,1528,1090,796,650
Guerrero,24296,1608,1461,2089,2133,2128,2875,2143,1987,2360,2244,1815,1453
Hidalgo,102,6,4,4,8,14,16,12,11,15,6,4,2
Jalisco,25667,1275,1132,2313,2513,3494,3481,1870,2103,2415,2234,1619,1218
MÃ©xico,4315,192,167,338,379,503,660,309,308,464,463,309,223
MichoacÃ¡n,16111,810,791,1573,1493,1995,2112,1231,1283,1608,1429,1003,783
Morelos,15722,676,717,1557,1760,2103,1924,1138,1167,1471,1464,937,808
Nayarit,6156,321,329,503,465,564,767,580,658,701,524,407,337
NuevoLeÃ_n,116,1,1,4,11,15,24,13,16,13,7,6,5
Oaxaca,3122,172,160,306,320,311,369,291,244,292,234,219,204
Puebla,8517,445,422,788,1063,1001,1112,710,729,648,644,451,504
QuerÃ©taro,2643,73,78,192,235,364,458,282,214,306,216,129,96
QuintanaRoo,117,1,2,10,5,16,14,12,8,21,15,7,6
SanLuisPotosÃ_,149,5,0,13,13,22,33,17,18,9,8,7,4
Sinaloa,4827,188,189,312,312,366,516,510,598,736,550,326,224
Sonora,2528,28,52,92,137,256,603,379,357,338,134,83,69
Tabasco,37,1,2,2,5,1,7,6,5,6,0,1,1
Tamaulipas,169,6,2,9,12,24,40,10,18,28,12,3,5
Tlaxcala,35,0,0,2,3,7,3,6,3,5,1,4,1
Veracruz,135,6,5,6,13,20,32,15,7,15,10,4,2
YucatÃ¡n,41,0,5,5,4,1,0,6,4,9,4,1,2
Zacatecas,1948,53,57,114,171,220,370,240,204,223,147,84,65
TOTALGLOBAL,143147,6727,6481,12207,13814,17548,19465,12131,12175,14426,12185,8863,7125
