Estado,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Aguascalientes,2295,116,95,166,243,301,265,286,177,207,248,131,60
BajaCalifornia,131,2,1,7,4,11,5,14,35,33,12,7,0
BajaCaliforniaSur,143,2,3,7,5,23,22,22,22,20,9,7,1
Campeche,82,2,14,3,3,8,14,11,10,6,3,6,2
Coahuila,231,1,3,5,23,50,27,39,38,22,15,4,4
Colima,12115,837,756,771,607,1265,1111,1446,1065,1152,1430,897,778
Chiapas,331,24,14,19,18,64,31,30,25,27,22,33,24
Chihuahua,485,10,14,23,45,73,66,75,53,66,44,11,5
DistritoFederal,455,22,26,42,35,59,47,56,38,47,32,24,27
Durango,7945,381,284,348,760,1415,1154,937,739,621,622,420,264
Guanajuato,35490,1975,2133,2455,4276,6672,3970,3336,2624,2517,3005,1366,1161
Guerrero,57922,4341,3310,4140,4181,6461,4883,5634,4336,4659,6211,6021,3745
Hidalgo,249,11,12,13,18,23,33,35,32,30,26,9,7
Jalisco,53856,3691,2946,3876,5054,7560,5577,4879,3929,4363,5732,3398,2851
MÃ©xico,10780,602,517,750,1153,1546,888,932,812,750,1303,902,625
MichoacÃ¡n,34375,2232,1931,2478,2975,4671,3145,3122,2562,2587,3724,2799,2149
Morelos,32355,2094,2094,2840,3375,4352,2783,3096,2356,2490,3311,2123,1441
Nayarit,15909,1008,734,862,1098,1646,1709,1891,1355,1511,1918,1344,833
NuevoLeÃ_n,239,6,6,7,26,29,33,28,36,29,23,9,7
Oaxaca,5410,348,346,422,450,711,502,571,422,432,494,409,303
Puebla,15342,918,1026,1268,1477,2086,1369,1376,1103,1286,1432,1121,880
QuerÃ©taro,5642,240,211,305,527,867,632,608,477,505,710,307,253
QuintanaRoo,107,9,16,19,12,7,10,7,5,8,6,6,2
SanLuisPotosÃ_,406,13,18,36,47,54,45,52,35,52,27,20,7
Sinaloa,10550,346,346,376,545,1036,1023,1370,1189,1345,1596,805,573
Sonora,6166,175,83,215,429,1042,1192,912,664,594,512,225,123
Tabasco,76,4,6,7,5,14,4,12,7,7,4,2,4
Tamaulipas,518,10,13,26,49,75,65,80,48,74,43,24,11
Tlaxcala,58,4,1,3,6,7,7,7,8,5,7,3,0
Veracruz,269,10,21,23,30,47,19,23,24,32,16,17,7
YucatÃ¡n,59,5,11,5,2,2,5,3,7,6,11,1,1
Zacatecas,3568,149,128,222,321,536,462,481,321,291,308,222,127
TOTALGLOBAL,313559,19588,17119,21739,27799,42713,31098,31371,24554,25774,32856,22673,16275
