Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,982,59,35,72,98,153,90,116,76,102,110,42,29
BajaCalifornia,63,0,4,2,2,6,9,10,6,11,9,4,0
BajaCaliforniaSur,24,0,1,2,2,1,4,3,4,3,0,2,2
Campeche,29,0,1,4,2,3,7,3,0,2,5,2,0
Coahuila,100,2,1,2,5,19,18,12,16,20,5,0,0
Colima,6573,527,347,372,413,558,552,645,566,671,903,556,463
Chiapas,136,14,9,14,14,26,8,12,11,4,7,9,8
Chihuahua,181,4,2,6,8,25,18,38,20,19,26,10,5
DistritoFederal,261,18,15,12,28,28,28,31,28,20,20,23,10
Durango,4658,148,184,310,424,746,667,582,447,374,377,232,167
Guanajuato,15045,699,858,1038,1787,2366,1668,1527,1219,1113,1387,834,549
Guerrero,31479,2370,1736,1615,2119,3198,2903,2777,2075,2018,3839,4549,2280
Hidalgo,95,2,3,4,11,14,13,10,14,6,11,4,3
Jalisco,27534,1915,1572,1821,2515,3542,2749,2677,2122,2080,3036,1968,1537
MÃ©xico,5580,260,269,267,433,797,551,451,386,421,715,619,411
MichoacÃ¡n,17289,1269,953,1035,1373,2099,1676,1708,1318,1277,1833,1525,1223
Morelos,17206,901,919,1093,1693,2235,1689,1512,1251,1271,1949,1596,1097
Nayarit,8804,552,349,495,531,629,974,1160,798,718,1142,919,537
NuevoLeÃ_n,68,0,1,3,8,9,16,11,10,4,5,0,1
Oaxaca,2472,158,156,177,217,269,234,229,162,171,261,227,211
Puebla,6495,513,522,535,626,734,544,580,441,406,625,660,309
QuerÃ©taro,2616,164,149,174,239,365,280,273,210,203,265,164,130
QuintanaRoo,49,5,2,5,2,2,4,9,3,6,5,4,2
SanLuisPotosÃ_,141,6,6,6,10,14,15,28,22,13,11,8,2
Sinaloa,4445,248,163,154,196,336,375,530,506,587,694,414,242
Sonora,2360,71,47,89,144,397,432,384,273,227,185,73,38
Tabasco,18,0,4,1,3,3,1,1,1,1,2,1,0
Tamaulipas,201,5,10,16,22,28,28,34,23,11,12,8,4
Tlaxcala,23,1,0,1,1,6,0,4,3,2,1,2,2
Veracruz,107,4,13,10,15,10,3,17,10,1,13,6,5
YucatÃ¡n,15,0,1,1,4,0,2,0,1,3,2,0,1
Zacatecas,2068,71,85,122,177,272,238,264,175,174,215,171,104
TOTALGLOBAL,157117,9986,8417,9458,13122,18890,15796,15638,12197,11939,17670,14632,9372
