"Estado","Ano","Tipo","Rango.edades","Valor"
"Aguascalientes ","2003","General","Menor.a.1",10
"Baja California ","2003","General","Menor.a.1",2
"Baja California Sur","2003","General","Menor.a.1",1
"Campeche ","2003","General","Menor.a.1",0
"Coahuila ","2003","General","Menor.a.1",2
"Colima ","2003","General","Menor.a.1",53
"Chiapas ","2003","General","Menor.a.1",3
"Chihuahua ","2003","General","Menor.a.1",16
"Distrito Federal ","2003","General","Menor.a.1",2
"Durango ","2003","General","Menor.a.1",38
"Guanajuato ","2003","General","Menor.a.1",186
"Guerrero ","2003","General","Menor.a.1",295
"Hidalgo ","2003","General","Menor.a.1",3
"Jalisco ","2003","General","Menor.a.1",386
"Mexico","2003","General","Menor.a.1",130
"Michoacan","2003","General","Menor.a.1",313
"Morelos ","2003","General","Menor.a.1",296
"Nayarit ","2003","General","Menor.a.1",131
"Nuevo Leon","2003","General","Menor.a.1",4
"Oaxaca ","2003","General","Menor.a.1",29
"Puebla ","2003","General","Menor.a.1",75
"Queretaro","2003","General","Menor.a.1",78
"Quintana Roo ","2003","General","Menor.a.1",1
"San Luis Potosi","2003","General","Menor.a.1",1
"Sinaloa ","2003","General","Menor.a.1",99
"Sonora ","2003","General","Menor.a.1",1173
"Tabasco ","2003","General","Menor.a.1",1
"Tamaulipas ","2003","General","Menor.a.1",2
"Tlaxcala ","2003","General","Menor.a.1",0
"Veracruz ","2003","General","Menor.a.1",7
"Yucatan","2003","General","Menor.a.1",3
"Zacatecas ","2003","General","Menor.a.1",16
"Aguascalientes ","2004","General","Menor.a.1",13
"Baja California ","2004","General","Menor.a.1",13
"Baja California Sur","2004","General","Menor.a.1",2
"Campeche ","2004","General","Menor.a.1",1
"Coahuila ","2004","General","Menor.a.1",3
"Colima ","2004","General","Menor.a.1",54
"Chiapas ","2004","General","Menor.a.1",4
"Chihuahua ","2004","General","Menor.a.1",7
"Distrito Federal ","2004","General","Menor.a.1",0
"Durango ","2004","General","Menor.a.1",20
"Guanajuato ","2004","General","Menor.a.1",195
"Guerrero ","2004","General","Menor.a.1",295
"Hidalgo ","2004","General","Menor.a.1",2
"Jalisco ","2004","General","Menor.a.1",423
"Mexico","2004","General","Menor.a.1",64
"Michoacan","2004","General","Menor.a.1",358
"Morelos ","2004","General","Menor.a.1",293
"Nayarit ","2004","General","Menor.a.1",125
"Nuevo Leon","2004","General","Menor.a.1",1
"Oaxaca ","2004","General","Menor.a.1",25
"Puebla ","2004","General","Menor.a.1",93
"Queretaro","2004","General","Menor.a.1",81
"Quintana Roo ","2004","General","Menor.a.1",0
"San Luis Potosi","2004","General","Menor.a.1",2
"Sinaloa ","2004","General","Menor.a.1",83
"Sonora ","2004","General","Menor.a.1",81
"Tabasco ","2004","General","Menor.a.1",0
"Tamaulipas ","2004","General","Menor.a.1",2
"Tlaxcala ","2004","General","Menor.a.1",0
"Veracruz ","2004","General","Menor.a.1",8
"Yucatan","2004","General","Menor.a.1",0
"Zacatecas ","2004","General","Menor.a.1",14
"Aguascalientes ","2005","General","Menor.a.1",7
"Baja California ","2005","General","Menor.a.1",1
"Baja California Sur","2005","General","Menor.a.1",4
"Campeche ","2005","General","Menor.a.1",2
"Coahuila ","2005","General","Menor.a.1",4
"Colima ","2005","General","Menor.a.1",47
"Chiapas ","2005","General","Menor.a.1",6
"Chihuahua ","2005","General","Menor.a.1",6
"Distrito Federal ","2005","General","Menor.a.1",3
"Durango ","2005","General","Menor.a.1",25
"Guanajuato ","2005","General","Menor.a.1",183
"Guerrero ","2005","General","Menor.a.1",307
"Hidalgo ","2005","General","Menor.a.1",3
"Jalisco ","2005","General","Menor.a.1",372
"Mexico","2005","General","Menor.a.1",53
"Michoacan","2005","General","Menor.a.1",207
"Morelos ","2005","General","Menor.a.1",274
"Nayarit ","2005","General","Menor.a.1",115
"Nuevo Leon","2005","General","Menor.a.1",3
"Oaxaca ","2005","General","Menor.a.1",25
"Puebla ","2005","General","Menor.a.1",99
"Queretaro","2005","General","Menor.a.1",39
"Quintana Roo ","2005","General","Menor.a.1",2
"San Luis Potosi","2005","General","Menor.a.1",2
"Sinaloa ","2005","General","Menor.a.1",54
"Sonora ","2005","General","Menor.a.1",88
"Tabasco ","2005","General","Menor.a.1",0
"Tamaulipas ","2005","General","Menor.a.1",4
"Tlaxcala ","2005","General","Menor.a.1",1
"Veracruz ","2005","General","Menor.a.1",3
"Yucatan","2005","General","Menor.a.1",0
"Zacatecas ","2005","General","Menor.a.1",25
"Aguascalientes ","2006","General","Menor.a.1",5
"Baja California ","2006","General","Menor.a.1",2
"Baja California Sur","2006","General","Menor.a.1",1
"Campeche ","2006","General","Menor.a.1",0
"Coahuila ","2006","General","Menor.a.1",0
"Colima ","2006","General","Menor.a.1",40
"Chiapas ","2006","General","Menor.a.1",3
"Chihuahua ","2006","General","Menor.a.1",5
"Distrito Federal ","2006","General","Menor.a.1",4
"Durango ","2006","General","Menor.a.1",40
"Guanajuato ","2006","General","Menor.a.1",185
"Guerrero ","2006","General","Menor.a.1",369
"Hidalgo ","2006","General","Menor.a.1",0
"Jalisco ","2006","General","Menor.a.1",419
"Mexico","2006","General","Menor.a.1",70
"Michoacan","2006","General","Menor.a.1",257
"Morelos ","2006","General","Menor.a.1",177
"Nayarit ","2006","General","Menor.a.1",118
"Nuevo Leon","2006","General","Menor.a.1",1
"Oaxaca ","2006","General","Menor.a.1",33
"Puebla ","2006","General","Menor.a.1",81
"Queretaro","2006","General","Menor.a.1",40
"Quintana Roo ","2006","General","Menor.a.1",3
"San Luis Potosi","2006","General","Menor.a.1",9
"Sinaloa ","2006","General","Menor.a.1",51
"Sonora ","2006","General","Menor.a.1",53
"Tabasco ","2006","General","Menor.a.1",1
"Tamaulipas ","2006","General","Menor.a.1",0
"Tlaxcala ","2006","General","Menor.a.1",0
"Veracruz ","2006","General","Menor.a.1",5
"Yucatan","2006","General","Menor.a.1",3
"Zacatecas ","2006","General","Menor.a.1",18
"Aguascalientes ","2007","General","Menor.a.1",9
"Baja California ","2007","General","Menor.a.1",1
"Baja California Sur","2007","General","Menor.a.1",0
"Campeche ","2007","General","Menor.a.1",0
"Coahuila ","2007","General","Menor.a.1",2
"Colima ","2007","General","Menor.a.1",46
"Chiapas ","2007","General","Menor.a.1",0
"Chihuahua ","2007","General","Menor.a.1",9
"Distrito Federal ","2007","General","Menor.a.1",1
"Durango ","2007","General","Menor.a.1",67
"Guanajuato ","2007","General","Menor.a.1",192
"Guerrero ","2007","General","Menor.a.1",326
"Hidalgo ","2007","General","Menor.a.1",2
"Jalisco ","2007","General","Menor.a.1",334
"Mexico","2007","General","Menor.a.1",75
"Michoacan","2007","General","Menor.a.1",216
"Morelos ","2007","General","Menor.a.1",173
"Nayarit ","2007","General","Menor.a.1",132
"Nuevo Leon","2007","General","Menor.a.1",0
"Oaxaca ","2007","General","Menor.a.1",30
"Puebla ","2007","General","Menor.a.1",59
"Queretaro","2007","General","Menor.a.1",40
"Quintana Roo ","2007","General","Menor.a.1",2
"San Luis Potosi","2007","General","Menor.a.1",4
"Sinaloa ","2007","General","Menor.a.1",54
"Sonora ","2007","General","Menor.a.1",69
"Tabasco ","2007","General","Menor.a.1",0
"Tamaulipas ","2007","General","Menor.a.1",5
"Tlaxcala ","2007","General","Menor.a.1",2
"Veracruz ","2007","General","Menor.a.1",4
"Yucatan","2007","General","Menor.a.1",0
"Zacatecas ","2007","General","Menor.a.1",16
"Aguascalientes ","2008","General","Menor.a.1",10
"Baja California ","2008","General","Menor.a.1",3
"Baja California Sur","2008","General","Menor.a.1",2
"Campeche ","2008","General","Menor.a.1",7
"Coahuila ","2008","General","Menor.a.1",1
"Colima ","2008","General","Menor.a.1",47
"Chiapas ","2008","General","Menor.a.1",6
"Chihuahua ","2008","General","Menor.a.1",12
"Distrito Federal ","2008","General","Menor.a.1",2
"Durango ","2008","General","Menor.a.1",36
"Guanajuato ","2008","General","Menor.a.1",194
"Guerrero ","2008","General","Menor.a.1",293
"Hidalgo ","2008","General","Menor.a.1",0
"Jalisco ","2008","General","Menor.a.1",339
"Mexico","2008","General","Menor.a.1",65
"Michoacan","2008","General","Menor.a.1",232
"Morelos ","2008","General","Menor.a.1",152
"Nayarit ","2008","General","Menor.a.1",91
"Nuevo Leon","2008","General","Menor.a.1",3
"Oaxaca ","2008","General","Menor.a.1",35
"Puebla ","2008","General","Menor.a.1",67
"Queretaro","2008","General","Menor.a.1",35
"Quintana Roo ","2008","General","Menor.a.1",0
"San Luis Potosi","2008","General","Menor.a.1",2
"Sinaloa ","2008","General","Menor.a.1",72
"Sonora ","2008","General","Menor.a.1",63
"Tabasco ","2008","General","Menor.a.1",0
"Tamaulipas ","2008","General","Menor.a.1",4
"Tlaxcala ","2008","General","Menor.a.1",0
"Veracruz ","2008","General","Menor.a.1",4
"Yucatan","2008","General","Menor.a.1",0
"Zacatecas ","2008","General","Menor.a.1",23
"Aguascalientes ","2009","General","Menor.a.1",6
"Baja California ","2009","General","Menor.a.1",3
"Baja California Sur","2009","General","Menor.a.1",0
"Campeche ","2009","General","Menor.a.1",0
"Coahuila ","2009","General","Menor.a.1",1
"Colima ","2009","General","Menor.a.1",41
"Chiapas ","2009","General","Menor.a.1",2
"Chihuahua ","2009","General","Menor.a.1",9
"Distrito Federal ","2009","General","Menor.a.1",2
"Durango ","2009","General","Menor.a.1",38
"Guanajuato ","2009","General","Menor.a.1",132
"Guerrero ","2009","General","Menor.a.1",286
"Hidalgo ","2009","General","Menor.a.1",0
"Jalisco ","2009","General","Menor.a.1",351
"Mexico","2009","General","Menor.a.1",76
"Michoacan","2009","General","Menor.a.1",262
"Morelos ","2009","General","Menor.a.1",146
"Nayarit ","2009","General","Menor.a.1",89
"Nuevo Leon","2009","General","Menor.a.1",3
"Oaxaca ","2009","General","Menor.a.1",38
"Puebla ","2009","General","Menor.a.1",69
"Queretaro","2009","General","Menor.a.1",37
"Quintana Roo ","2009","General","Menor.a.1",4
"San Luis Potosi","2009","General","Menor.a.1",4
"Sinaloa ","2009","General","Menor.a.1",71
"Sonora ","2009","General","Menor.a.1",43
"Tabasco ","2009","General","Menor.a.1",0
"Tamaulipas ","2009","General","Menor.a.1",3
"Tlaxcala ","2009","General","Menor.a.1",0
"Veracruz ","2009","General","Menor.a.1",4
"Yucatan","2009","General","Menor.a.1",0
"Zacatecas ","2009","General","Menor.a.1",14
"Aguascalientes ","2010","General","Menor.a.1",4
"Baja California ","2010","General","Menor.a.1",0
"Baja California Sur","2010","General","Menor.a.1",0
"Campeche ","2010","General","Menor.a.1",0
"Coahuila ","2010","General","Menor.a.1",1
"Colima ","2010","General","Menor.a.1",49
"Chiapas ","2010","General","Menor.a.1",2
"Chihuahua ","2010","General","Menor.a.1",5
"Distrito Federal ","2010","General","Menor.a.1",2
"Durango ","2010","General","Menor.a.1",48
"Guanajuato ","2010","General","Menor.a.1",154
"Guerrero ","2010","General","Menor.a.1",326
"Hidalgo ","2010","General","Menor.a.1",2
"Jalisco ","2010","General","Menor.a.1",317
"Mexico","2010","General","Menor.a.1",55
"Michoacan","2010","General","Menor.a.1",335
"Morelos ","2010","General","Menor.a.1",156
"Nayarit ","2010","General","Menor.a.1",80
"Nuevo Leon","2010","General","Menor.a.1",2
"Oaxaca ","2010","General","Menor.a.1",40
"Puebla ","2010","General","Menor.a.1",70
"Queretaro","2010","General","Menor.a.1",40
"Quintana Roo ","2010","General","Menor.a.1",1
"San Luis Potosi","2010","General","Menor.a.1",2
"Sinaloa ","2010","General","Menor.a.1",42
"Sonora ","2010","General","Menor.a.1",43
"Tabasco ","2010","General","Menor.a.1",0
"Tamaulipas ","2010","General","Menor.a.1",3
"Tlaxcala ","2010","General","Menor.a.1",0
"Veracruz ","2010","General","Menor.a.1",2
"Yucatan","2010","General","Menor.a.1",0
"Zacatecas ","2010","General","Menor.a.1",13
"Aguascalientes ","2011","General","Menor.a.1",7
"Baja California ","2011","General","Menor.a.1",1
"Baja California Sur","2011","General","Menor.a.1",1
"Campeche ","2011","General","Menor.a.1",0
"Coahuila ","2011","General","Menor.a.1",1
"Colima ","2011","General","Menor.a.1",63
"Chiapas ","2011","General","Menor.a.1",5
"Chihuahua ","2011","General","Menor.a.1",11
"Distrito Federal ","2011","General","Menor.a.1",4
"Durango ","2011","General","Menor.a.1",38
"Guanajuato ","2011","General","Menor.a.1",143
"Guerrero ","2011","General","Menor.a.1",336
"Hidalgo ","2011","General","Menor.a.1",2
"Jalisco ","2011","General","Menor.a.1",352
"Mexico","2011","General","Menor.a.1",83
"Michoacan","2011","General","Menor.a.1",273
"Morelos ","2011","General","Menor.a.1",130
"Nayarit ","2011","General","Menor.a.1",176
"Nuevo Leon","2011","General","Menor.a.1",0
"Oaxaca ","2011","General","Menor.a.1",27
"Puebla ","2011","General","Menor.a.1",62
"Queretaro","2011","General","Menor.a.1",37
"Quintana Roo ","2011","General","Menor.a.1",3
"San Luis Potosi","2011","General","Menor.a.1",1
"Sinaloa ","2011","General","Menor.a.1",50
"Sonora ","2011","General","Menor.a.1",63
"Tabasco ","2011","General","Menor.a.1",1
"Tamaulipas ","2011","General","Menor.a.1",3
"Tlaxcala ","2011","General","Menor.a.1",0
"Veracruz ","2011","General","Menor.a.1",1
"Yucatan","2011","General","Menor.a.1",0
"Zacatecas ","2011","General","Menor.a.1",21
"Aguascalientes ","2012","General","Menor.a.1",9
"Baja California ","2012","General","Menor.a.1",1
"Baja California Sur","2012","General","Menor.a.1",2
"Campeche ","2012","General","Menor.a.1",1
"Coahuila ","2012","General","Menor.a.1",2
"Colima ","2012","General","Menor.a.1",37
"Chiapas ","2012","General","Menor.a.1",4
"Chihuahua ","2012","General","Menor.a.1",11
"Distrito Federal ","2012","General","Menor.a.1",1
"Durango ","2012","General","Menor.a.1",48
"Guanajuato ","2012","General","Menor.a.1",206
"Guerrero ","2012","General","Menor.a.1",384
"Hidalgo ","2012","General","Menor.a.1",3
"Jalisco ","2012","General","Menor.a.1",320
"Mexico","2012","General","Menor.a.1",84
"Michoacan","2012","General","Menor.a.1",292
"Morelos ","2012","General","Menor.a.1",112
"Nayarit ","2012","General","Menor.a.1",104
"Nuevo Leon","2012","General","Menor.a.1",2
"Oaxaca ","2012","General","Menor.a.1",21
"Puebla ","2012","General","Menor.a.1",69
"Queretaro","2012","General","Menor.a.1",14
"Quintana Roo ","2012","General","Menor.a.1",2
"San Luis Potosi","2012","General","Menor.a.1",0
"Sinaloa ","2012","General","Menor.a.1",56
"Sonora ","2012","General","Menor.a.1",62
"Tabasco ","2012","General","Menor.a.1",1
"Tamaulipas ","2012","General","Menor.a.1",8
"Tlaxcala ","2012","General","Menor.a.1",0
"Veracruz ","2012","General","Menor.a.1",1
"Yucatan","2012","General","Menor.a.1",0
"Zacatecas ","2012","General","Menor.a.1",11
"Aguascalientes ","2013","General","Menor.a.1",14
"Baja California ","2013","General","Menor.a.1",2
"Baja California Sur","2013","General","Menor.a.1",1
"Campeche ","2013","General","Menor.a.1",0
"Coahuila ","2013","General","Menor.a.1",4
"Colima ","2013","General","Menor.a.1",59
"Chiapas ","2013","General","Menor.a.1",2
"Chihuahua ","2013","General","Menor.a.1",8
"Distrito Federal ","2013","General","Menor.a.1",4
"Durango ","2013","General","Menor.a.1",68
"Guanajuato ","2013","General","Menor.a.1",205
"Guerrero ","2013","General","Menor.a.1",354
"Hidalgo ","2013","General","Menor.a.1",1
"Jalisco ","2013","General","Menor.a.1",362
"Mexico","2013","General","Menor.a.1",67
"Michoacan","2013","General","Menor.a.1",219
"Morelos ","2013","General","Menor.a.1",96
"Nayarit ","2013","General","Menor.a.1",229
"Nuevo Leon","2013","General","Menor.a.1",2
"Oaxaca ","2013","General","Menor.a.1",23
"Puebla ","2013","General","Menor.a.1",70
"Queretaro","2013","General","Menor.a.1",23
"Quintana Roo ","2013","General","Menor.a.1",1
"San Luis Potosi","2013","General","Menor.a.1",4
"Sinaloa ","2013","General","Menor.a.1",51
"Sonora ","2013","General","Menor.a.1",68
"Tabasco ","2013","General","Menor.a.1",0
"Tamaulipas ","2013","General","Menor.a.1",5
"Tlaxcala ","2013","General","Menor.a.1",0
"Veracruz ","2013","General","Menor.a.1",4
"Yucatan","2013","General","Menor.a.1",0
"Zacatecas ","2013","General","Menor.a.1",22
"Aguascalientes ","2003","General","Entre.1.y.4",119
"Baja California ","2003","General","Entre.1.y.4",7
"Baja California Sur","2003","General","Entre.1.y.4",12
"Campeche ","2003","General","Entre.1.y.4",9
"Coahuila ","2003","General","Entre.1.y.4",5
"Colima ","2003","General","Entre.1.y.4",606
"Chiapas ","2003","General","Entre.1.y.4",27
"Chihuahua ","2003","General","Entre.1.y.4",60
"Distrito Federal ","2003","General","Entre.1.y.4",20
"Durango ","2003","General","Entre.1.y.4",388
"Guanajuato ","2003","General","Entre.1.y.4",2062
"Guerrero ","2003","General","Entre.1.y.4",2734
"Hidalgo ","2003","General","Entre.1.y.4",13
"Jalisco ","2003","General","Entre.1.y.4",4299
"Mexico","2003","General","Entre.1.y.4",804
"Michoacan","2003","General","Entre.1.y.4",2901
"Morelos ","2003","General","Entre.1.y.4",3026
"Nayarit ","2003","General","Entre.1.y.4",1238
"Nuevo Leon","2003","General","Entre.1.y.4",22
"Oaxaca ","2003","General","Entre.1.y.4",348
"Puebla ","2003","General","Entre.1.y.4",1257
"Queretaro","2003","General","Entre.1.y.4",412
"Quintana Roo ","2003","General","Entre.1.y.4",7
"San Luis Potosi","2003","General","Entre.1.y.4",16
"Sinaloa ","2003","General","Entre.1.y.4",765
"Sonora ","2003","General","Entre.1.y.4",2028
"Tabasco ","2003","General","Entre.1.y.4",3
"Tamaulipas ","2003","General","Entre.1.y.4",28
"Tlaxcala ","2003","General","Entre.1.y.4",3
"Veracruz ","2003","General","Entre.1.y.4",23
"Yucatan","2003","General","Entre.1.y.4",15
"Zacatecas ","2003","General","Entre.1.y.4",229
"Aguascalientes ","2004","General","Entre.1.y.4",232
"Baja California ","2004","General","Entre.1.y.4",8
"Baja California Sur","2004","General","Entre.1.y.4",4
"Campeche ","2004","General","Entre.1.y.4",2
"Coahuila ","2004","General","Entre.1.y.4",11
"Colima ","2004","General","Entre.1.y.4",652
"Chiapas ","2004","General","Entre.1.y.4",19
"Chihuahua ","2004","General","Entre.1.y.4",36
"Distrito Federal ","2004","General","Entre.1.y.4",28
"Durango ","2004","General","Entre.1.y.4",395
"Guanajuato ","2004","General","Entre.1.y.4",1921
"Guerrero ","2004","General","Entre.1.y.4",3073
