"Estado","Ano","Tipo","Mes","value"
"Aguascalientes","2003","General","Ene",74
"BajaCalifornia","2003","General","Ene",3
"BajaCaliforniaSur","2003","General","Ene",4
"Campeche","2003","General","Ene",3
"Coahuila","2003","General","Ene",0
"Colima","2003","General","Ene",837
"Chiapas","2003","General","Ene",11
"Chihuahua","2003","General","Ene",11
"DistritoFederal","2003","General","Ene",16
"Durango","2003","General","Ene",167
"Guanajuato","2003","General","Ene",1266
"Guerrero","2003","General","Ene",1672
"Hidalgo","2003","General","Ene",11
"Jalisco","2003","General","Ene",3671
"Mexico","2003","General","Ene",273
"Michoacan","2003","General","Ene",1823
"Morelos","2003","General","Ene",1614
"Nayarit","2003","General","Ene",932
"NuevoLeon","2003","General","Ene",4
"Oaxaca","2003","General","Ene",314
"Puebla","2003","General","Ene",966
"Queretaro","2003","General","Ene",206
"QuintanaRoo","2003","General","Ene",1
"SanLuisPotosi","2003","General","Ene",4
"Sinaloa","2003","General","Ene",387
"Sonora","2003","General","Ene",392
"Tabasco","2003","General","Ene",2
"Tamaulipas","2003","General","Ene",9
"Tlaxcala","2003","General","Ene",1
"Veracruz","2003","General","Ene",10
"Yucatan","2003","General","Ene",2
"Zacatecas","2003","General","Ene",106
"Total","2003","General","Ene",14792
"Aguascalientes","2004","General","Ene",74
"BajaCalifornia","2004","General","Ene",0
"BajaCaliforniaSur","2004","General","Ene",1
"Campeche","2004","General","Ene",1
"Coahuila","2004","General","Ene",7
"Colima","2004","General","Ene",503
"Chiapas","2004","General","Ene",12
"Chihuahua","2004","General","Ene",5
"DistritoFederal","2004","General","Ene",19
"Durango","2004","General","Ene",138
"Guanajuato","2004","General","Ene",811
"Guerrero","2004","General","Ene",1762
"Hidalgo","2004","General","Ene",8
"Jalisco","2004","General","Ene",2696
"Mexico","2004","General","Ene",224
"Michoacan","2004","General","Ene",1108
"Morelos","2004","General","Ene",1074
"Nayarit","2004","General","Ene",693
"NuevoLeon","2004","General","Ene",4
"Oaxaca","2004","General","Ene",193
"Puebla","2004","General","Ene",700
"Queretaro","2004","General","Ene",145
"QuintanaRoo","2004","General","Ene",5
"SanLuisPotosi","2004","General","Ene",6
"Sinaloa","2004","General","Ene",292
"Sonora","2004","General","Ene",82
"Tabasco","2004","General","Ene",2
"Tamaulipas","2004","General","Ene",8
"Tlaxcala","2004","General","Ene",0
"Veracruz","2004","General","Ene",2
"Yucatan","2004","General","Ene",0
"Zacatecas","2004","General","Ene",97
"Total","2004","General","Ene",10672
"Aguascalientes","2005","General","Ene",55
"BajaCalifornia","2005","General","Ene",5
"BajaCaliforniaSur","2005","General","Ene",1
"Campeche","2005","General","Ene",5
"Coahuila","2005","General","Ene",4
"Colima","2005","General","Ene",655
"Chiapas","2005","General","Ene",16
"Chihuahua","2005","General","Ene",8
"DistritoFederal","2005","General","Ene",26
"Durango","2005","General","Ene",213
"Guanajuato","2005","General","Ene",879
"Guerrero","2005","General","Ene",1759
"Hidalgo","2005","General","Ene",5
"Jalisco","2005","General","Ene",2626
"Mexico","2005","General","Ene",266
"Michoacan","2005","General","Ene",1260
"Morelos","2005","General","Ene",1074
"Nayarit","2005","General","Ene",638
"NuevoLeon","2005","General","Ene",2
"Oaxaca","2005","General","Ene",194
"Puebla","2005","General","Ene",785
"Queretaro","2005","General","Ene",171
"QuintanaRoo","2005","General","Ene",7
"SanLuisPotosi","2005","General","Ene",13
"Sinaloa","2005","General","Ene",283
"Sonora","2005","General","Ene",71
"Tabasco","2005","General","Ene",0
"Tamaulipas","2005","General","Ene",11
"Tlaxcala","2005","General","Ene",0
"Veracruz","2005","General","Ene",6
"Yucatan","2005","General","Ene",2
"Zacatecas","2005","General","Ene",109
"Total","2005","General","Ene",11149
"Aguascalientes","2006","General","Ene",108
"BajaCalifornia","2006","General","Ene",6
"BajaCaliforniaSur","2006","General","Ene",1
"Campeche","2006","General","Ene",1
"Coahuila","2006","General","Ene",1
"Colima","2006","General","Ene",847
"Chiapas","2006","General","Ene",19
"Chihuahua","2006","General","Ene",12
"DistritoFederal","2006","General","Ene",32
"Durango","2006","General","Ene",172
"Guanajuato","2006","General","Ene",1919
"Guerrero","2006","General","Ene",2714
"Hidalgo","2006","General","Ene",11
"Jalisco","2006","General","Ene",3872
"Mexico","2006","General","Ene",322
"Michoacan","2006","General","Ene",2096
"Morelos","2006","General","Ene",1748
"Nayarit","2006","General","Ene",720
"NuevoLeon","2006","General","Ene",4
"Oaxaca","2006","General","Ene",355
"Puebla","2006","General","Ene",1191
"Queretaro","2006","General","Ene",231
"QuintanaRoo","2006","General","Ene",8
"SanLuisPotosi","2006","General","Ene",18
"Sinaloa","2006","General","Ene",268
"Sonora","2006","General","Ene",94
"Tabasco","2006","General","Ene",2
"Tamaulipas","2006","General","Ene",9
"Tlaxcala","2006","General","Ene",2
"Veracruz","2006","General","Ene",13
"Yucatan","2006","General","Ene",6
"Zacatecas","2006","General","Ene",185
"Total","2006","General","Ene",16987
"Aguascalientes","2007","General","Ene",78
"BajaCalifornia","2007","General","Ene",1
"BajaCaliforniaSur","2007","General","Ene",4
"Campeche","2007","General","Ene",6
"Coahuila","2007","General","Ene",2
"Colima","2007","General","Ene",785
"Chiapas","2007","General","Ene",26
"Chihuahua","2007","General","Ene",16
"DistritoFederal","2007","General","Ene",30
"Durango","2007","General","Ene",193
"Guanajuato","2007","General","Ene",1897
"Guerrero","2007","General","Ene",2918
"Hidalgo","2007","General","Ene",4
"Jalisco","2007","General","Ene",3541
"Mexico","2007","General","Ene",422
"Michoacan","2007","General","Ene",1876
"Morelos","2007","General","Ene",2118
"Nayarit","2007","General","Ene",987
"NuevoLeon","2007","General","Ene",3
"Oaxaca","2007","General","Ene",401
"Puebla","2007","General","Ene",1182
"Queretaro","2007","General","Ene",186
"QuintanaRoo","2007","General","Ene",6
"SanLuisPotosi","2007","General","Ene",11
"Sinaloa","2007","General","Ene",333
"Sonora","2007","General","Ene",84
"Tabasco","2007","General","Ene",1
"Tamaulipas","2007","General","Ene",12
"Tlaxcala","2007","General","Ene",0
"Veracruz","2007","General","Ene",19
"Yucatan","2007","General","Ene",5
"Zacatecas","2007","General","Ene",149
"Total","2007","General","Ene",17296
"Aguascalientes","2008","General","Ene",84
"BajaCalifornia","2008","General","Ene",3
"BajaCaliforniaSur","2008","General","Ene",3
"Campeche","2008","General","Ene",62
"Coahuila","2008","General","Ene",3
"Colima","2008","General","Ene",682
"Chiapas","2008","General","Ene",27
"Chihuahua","2008","General","Ene",6
"DistritoFederal","2008","General","Ene",29
"Durango","2008","General","Ene",133
"Guanajuato","2008","General","Ene",1281
"Guerrero","2008","General","Ene",2344
"Hidalgo","2008","General","Ene",12
"Jalisco","2008","General","Ene",2965
"Mexico","2008","General","Ene",350
"Michoacan","2008","General","Ene",1590
"Morelos","2008","General","Ene",1523
"Nayarit","2008","General","Ene",736
"NuevoLeon","2008","General","Ene",4
"Oaxaca","2008","General","Ene",333
"Puebla","2008","General","Ene",758
"Queretaro","2008","General","Ene",134
"QuintanaRoo","2008","General","Ene",5
"SanLuisPotosi","2008","General","Ene",16
"Sinaloa","2008","General","Ene",251
"Sonora","2008","General","Ene",91
"Tabasco","2008","General","Ene",2
"Tamaulipas","2008","General","Ene",3
"Tlaxcala","2008","General","Ene",0
"Veracruz","2008","General","Ene",7
"Yucatan","2008","General","Ene",2
"Zacatecas","2008","General","Ene",153
"Total","2008","General","Ene",13592
"Aguascalientes","2009","General","Ene",75
"BajaCalifornia","2009","General","Ene",2
"BajaCaliforniaSur","2009","General","Ene",5
"Campeche","2009","General","Ene",4
"Coahuila","2009","General","Ene",0
"Colima","2009","General","Ene",683
"Chiapas","2009","General","Ene",19
"Chihuahua","2009","General","Ene",7
"DistritoFederal","2009","General","Ene",28
"Durango","2009","General","Ene",231
"Guanajuato","2009","General","Ene",876
"Guerrero","2009","General","Ene",2304
"Hidalgo","2009","General","Ene",7
"Jalisco","2009","General","Ene",2781
"Mexico","2009","General","Ene",401
"Michoacan","2009","General","Ene",1573
"Morelos","2009","General","Ene",1471
"Nayarit","2009","General","Ene",1021
"NuevoLeon","2009","General","Ene",3
"Oaxaca","2009","General","Ene",317
"Puebla","2009","General","Ene",787
"Queretaro","2009","General","Ene",123
"QuintanaRoo","2009","General","Ene",3
"SanLuisPotosi","2009","General","Ene",8
"Sinaloa","2009","General","Ene",367
"Sonora","2009","General","Ene",84
"Tabasco","2009","General","Ene",2
"Tamaulipas","2009","General","Ene",7
"Tlaxcala","2009","General","Ene",2
"Veracruz","2009","General","Ene",10
"Yucatan","2009","General","Ene",1
"Zacatecas","2009","General","Ene",125
"Total","2009","General","Ene",13327
"Aguascalientes","2010","General","Ene",59
"BajaCalifornia","2010","General","Ene",1
"BajaCaliforniaSur","2010","General","Ene",0
"Campeche","2010","General","Ene",4
"Coahuila","2010","General","Ene",3
"Colima","2010","General","Ene",666
"Chiapas","2010","General","Ene",30
"Chihuahua","2010","General","Ene",15
"DistritoFederal","2010","General","Ene",27
"Durango","2010","General","Ene",166
"Guanajuato","2010","General","Ene",850
"Guerrero","2010","General","Ene",3454
"Hidalgo","2010","General","Ene",7
"Jalisco","2010","General","Ene",2780
"Mexico","2010","General","Ene",405
"Michoacan","2010","General","Ene",1707
"Morelos","2010","General","Ene",1335
"Nayarit","2010","General","Ene",755
"NuevoLeon","2010","General","Ene",2
"Oaxaca","2010","General","Ene",319
"Puebla","2010","General","Ene",836
"Queretaro","2010","General","Ene",162
"QuintanaRoo","2010","General","Ene",3
"SanLuisPotosi","2010","General","Ene",5
