"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Aguascalientes ",10,119,188,217,187,137,335,64,104,34,95,0,1490,"2003","General"
"Baja California ",2,7,7,8,4,6,26,3,4,1,1,0,69,"2003","General"
"Baja California Sur",1,12,4,6,7,12,23,4,9,0,1,0,79,"2003","General"
"Campeche ",0,9,7,3,7,1,13,4,4,0,0,0,48,"2003","General"
"Coahuila ",2,5,6,7,14,12,34,1,2,0,0,0,83,"2003","General"
"Colima ",53,606,835,1172,1319,1097,3090,509,745,287,525,33,10271,"2003","General"
"Chiapas ",3,27,15,19,17,13,64,10,17,5,5,0,195,"2003","General"
"Chihuahua ",16,60,56,53,48,37,112,32,23,12,16,1,466,"2003","General"
"Distrito Federal ",2,20,34,30,29,33,86,12,15,4,3,0,268,"2003","General"
"Durango ",38,388,555,662,687,587,1480,297,358,175,280,5,5512,"2003","General"
"Guanajuato ",186,2062,2661,3080,3086,2722,6381,1027,1225,470,1032,141,24073,"2003","General"
"Guerrero ",295,2734,3313,3445,2646,2196,5116,1122,1404,710,1206,17,24204,"2003","General"
"Hidalgo ",3,13,35,23,31,28,83,15,20,7,18,0,276,"2003","General"
"Jalisco ",386,4299,5219,6107,5921,4756,12757,2012,3099,1307,2540,50,48453,"2003","General"
"Mexico",130,804,914,887,599,396,1099,208,282,133,211,2,5665,"2003","General"
"Michoacan",313,2901,3557,4107,3476,2622,6521,1235,1653,679,1501,23,28588,"2003","General"
"Morelos ",296,3026,3302,3894,3285,3155,7502,1566,1987,915,1758,55,30741,"2003","General"
"Nayarit ",131,1238,1575,1902,1795,1492,3916,695,967,442,889,10,15052,"2003","General"
"Nuevo Leon",4,22,63,73,66,63,129,24,12,4,6,0,466,"2003","General"
"Oaxaca ",29,348,487,588,459,343,980,209,296,154,359,4,4256,"2003","General"
"Puebla ",75,1257,1826,2118,1864,1338,3388,726,1126,491,1266,6,15481,"2003","General"
"Queretaro",78,412,415,495,421,528,1357,155,218,92,203,3,4377,"2003","General"
"Quintana Roo ",1,7,5,9,8,10,35,5,5,0,4,1,90,"2003","General"
"San Luis Potosi",1,16,22,34,23,23,78,15,21,6,19,0,258,"2003","General"
"Sinaloa ",99,765,833,823,746,663,1980,382,509,258,454,13,7525,"2003","General"
"Sonora ",1173,2028,1017,836,606,738,2562,415,831,312,869,0,11387,"2003","General"
"Tabasco ",1,3,2,9,5,6,14,3,1,0,0,0,44,"2003","General"
"Tamaulipas ",2,28,35,40,48,55,121,24,19,9,16,126,523,"2003","General"
"Tlaxcala ",0,3,3,4,4,5,11,1,0,0,0,0,31,"2003","General"
"Veracruz ",7,23,20,27,24,26,70,15,13,6,18,0,249,"2003","General"
"Yucatan",3,15,4,5,6,4,14,4,3,4,2,0,64,"2003","General"
"Zacatecas ",16,229,314,379,445,253,646,111,183,94,224,5,2899,"2003","General"
"Total",3356,23486,27329,31062,27883,23357,60023,10905,15155,6611,13521,495,243183,"2003","General"
"Aguascalientes ",13,232,360,442,352,275,628,84,148,86,181,1,2802,"2004","General"
"Baja California ",13,8,8,5,9,8,23,6,8,1,2,0,91,"2004","General"
"Baja California Sur",2,4,9,7,10,12,28,5,8,2,3,0,90,"2004","General"
"Campeche ",1,2,2,6,4,5,11,0,0,0,1,0,32,"2004","General"
"Coahuila ",3,11,11,11,14,16,42,4,7,3,2,0,124,"2004","General"
"Colima ",54,652,845,1243,1280,1185,3252,507,681,308,604,29,10640,"2004","General"
