"Estado","Salud","IMSS.ORD","ISSSTE","IMSS.OP","DIF","PEMEX","SEDENA","SEMAR","Otras","Total","Ano","Tipo"
"Aguascalientes",1441,48,1,0,0,0,0,0,0,1490,"2003","General"
"Baja California",16,30,2,0,0,0,1,0,20,69,"2003","General"
"Baja California Sur",56,4,13,0,0,0,5,1,0,79,"2003","General"
"Campeche",27,1,5,14,0,0,1,0,0,48,"2003","General"
"Coahuila",33,37,0,8,2,0,0,0,3,83,"2003","General"
"Colima",7169,2889,109,0,0,0,19,84,1,10271,"2003","General"
"Chiapas",110,6,32,42,0,0,0,0,5,195,"2003","General"
"Chihuahua",137,154,0,125,0,0,0,0,50,466,"2003","General"
"Distrito Federal",201,17,47,0,0,1,1,1,0,268,"2003","General"
"Durango",4552,5,18,928,0,0,9,0,0,5512,"2003","General"
"Guanajuato",12116,4655,258,0,0,0,98,0,6946,24073,"2003","General"
"Guerrero",22044,1226,746,0,0,0,97,79,12,24204,"2003","General"
"Hidalgo",210,0,17,42,0,3,0,0,4,276,"2003","General"
"Jalisco",33556,11504,107,0,1,0,48,0,3237,48453,"2003","General"
"Mexico",5302,19,26,0,7,0,2,0,309,5665,"2003","General"
"Michoacan",14252,6019,942,7357,0,0,0,18,0,28588,"2003","General"
"Morelos",20149,8977,1615,0,0,0,0,0,0,30741,"2003","General"
"Nayarit",9253,1826,79,3755,12,0,125,2,0,15052,"2003","General"
"Nuevo Leon",30,124,0,0,0,0,1,0,311,466,"2003","General"
"Oaxaca",2447,174,115,1483,0,0,23,8,6,4256,"2003","General"
"Puebla",10450,1337,121,3527,0,0,5,0,41,15481,"2003","General"
"Queretaro",1064,3266,12,0,0,0,0,0,35,4377,"2003","General"
"Quintana Roo",49,37,4,0,0,0,0,0,0,90,"2003","General"
"San Luis Potosi",110,112,1,33,0,1,1,0,0,258,"2003","General"
"Sinaloa",3239,1671,209,1783,32,2,16,19,554,7525,"2003","General"
"Sonora",9060,1708,30,0,0,0,7,0,582,11387,"2003","General"
"Tabasco",27,1,0,0,0,0,6,0,10,44,"2003","General"
"Tamaulipas",261,18,13,27,0,8,10,1,185,523,"2003","General"
"Tlaxcala",27,4,0,0,0,0,0,0,0,31,"2003","General"
"Veracruz",145,52,2,36,0,0,10,4,0,249,"2003","General"
"Yucatan",39,1,1,22,1,0,0,0,0,64,"2003","General"
"Zacatecas",2050,174,10,665,0,0,0,0,0,2899,"2003","General"
"Total",159622,46096,4535,19847,55,15,485,217,12311,243183,"2003","General"
"Aguascalientes",2772,27,3,0,0,0,0,0,0,2802,"2004","General"
"Baja California",27,56,4,2,0,0,0,0,2,91,"2004","General"
"Baja California Sur",76,0,13,0,0,0,1,0,0,90,"2004","General"
"Campeche",16,3,6,4,0,0,0,0,3,32,"2004","General"
"Coahuila",31,36,2,11,0,0,0,0,44,124,"2004","General"
"Colima",7106,3212,112,0,0,0,11,97,102,10640,"2004","General"
"Chiapas",131,6,27,35,0,0,19,0,8,226,"2004","General"
"Chihuahua",158,102,0,111,0,0,0,0,39,410,"2004","General"
"Distrito Federal",261,21,63,0,0,0,0,3,0,348,"2004","General"
"Durango",4369,24,18,828,0,0,4,0,0,5243,"2004","General"
"Guanajuato",11577,5829,295,0,0,0,74,0,5479,23254,"2004","General"
"Guerrero",25634,2136,830,0,0,0,234,83,4,28921,"2004","General"
"Hidalgo",214,0,1,40,0,0,0,0,5,260,"2004","General"
"Jalisco",31626,12848,117,0,3,10,180,1,3164,47949,"2004","General"
"Mexico",4990,22,18,0,3,0,2,0,284,5319,"2004","General"
"Michoacan",13936,2669,716,6502,0,0,0,24,0,23847,"2004","General"
"Morelos",18005,6484,1070,0,0,0,0,0,0,25559,"2004","General"
"Nayarit",9295,1699,81,3390,5,0,126,0,46,14642,"2004","General"
"Nuevo Leon",40,171,0,0,0,0,0,0,66,277,"2004","General"
"Oaxaca",2376,114,94,1361,0,4,10,26,3,3988,"2004","General"
"Puebla",9976,1234,137,3428,0,0,1,0,79,14855,"2004","General"
"Queretaro",930,2881,37,0,0,0,0,0,36,3884,"2004","General"
"Quintana Roo",35,42,11,0,0,0,0,0,0,88,"2004","General"
"San Luis Potosi",80,184,3,51,0,2,0,0,5,325,"2004","General"
"Sinaloa",3380,1577,147,2183,30,0,26,18,802,8163,"2004","General"
"Sonora",3816,1487,72,0,0,0,15,0,229,5619,"2004","General"
"Tabasco",26,0,1,0,0,1,0,0,0,28,"2004","General"
"Tamaulipas",169,11,0,42,0,7,9,0,148,386,"2004","General"
"Tlaxcala",38,9,0,0,0,0,0,0,0,47,"2004","General"
"Veracruz",114,66,3,27,0,0,2,3,0,215,"2004","General"
"Yucatan",14,1,0,15,0,0,0,2,1,33,"2004","General"
"Zacatecas",1841,142,6,544,0,0,1,0,0,2534,"2004","General"
"Total",153059,43093,3887,18574,41,24,715,257,10549,230199,"2004","General"
"Aguascalientes",1738,22,0,0,0,0,0,0,1,1761,"2005","General"
"Baja California",38,53,5,4,0,0,1,0,48,149,"2005","General"
"Baja California Sur",95,0,23,0,0,0,0,1,0,119,"2005","General"
